,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Away,L,1,3,Tottenham,9,8,0,0,0,0,1,2,2,0,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Bournemouth,41,33,3,2,1,2,0,2,2,0,0,0,0,0,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Home,W,2,0,Everton,13,11,1,1,0,0,0,4,3,0,1,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,1,Crystal Palace,21,14,2,0,0,3,2,1,0,0,0,0,0,1,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Home,D,0,0,West Ham,20,18,2,0,0,0,0,0,0,0,0,0,0,0,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,L,2,3,Arsenal,29,22,1,2,0,1,3,4,4,0,0,0,0,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,Burnley,30,26,2,1,0,0,1,5,4,0,0,0,0,1,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,W,5,1,Norwich City,36,27,1,1,4,1,2,8,8,0,0,0,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Brighton,46,33,1,5,2,3,2,4,3,0,1,0,0,0,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Away,L,0,3,Manchester City,14,9,0,1,4,0,0,0,0,0,0,0,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Liverpool,9,3,2,0,0,1,3,2,0,1,0,0,1,0,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,2,Wolves,26,14,3,4,1,3,1,2,0,1,0,0,1,0,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,35,28,3,0,1,2,1,4,2,1,0,0,1,0,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,D,2,2,Manchester Utd,17,12,0,1,1,2,1,4,3,0,1,0,0,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Chelsea,18,14,2,1,1,0,0,2,2,0,0,0,0,0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,4,Leicester City,29,19,5,1,0,3,1,2,0,1,0,0,1,0,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,14,13,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,3,Southampton,35,24,4,2,2,2,1,2,2,0,0,0,0,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Norwich City,18,11,3,1,2,1,0,2,1,0,1,0,0,0,Match Report
