,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Away,L,1,3,Tottenham,6,3,3,50.0,0,2.0,-1.0,0,0,0,0,9,25,36.0,22,4,68.2,49.2,13,76.9,56.1,28,1,3.6,2,18.7,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Bournemouth,4,2,2,75.0,0,1.5,-0.5,1,1,0,0,4,10,40.0,15,2,46.7,34.3,6,50.0,44.3,10,1,10.0,1,18.0,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Home,W,2,0,Everton,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,9,24,37.5,24,2,58.3,44.0,11,90.9,58.5,18,1,5.6,0,4.5,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,1,Crystal Palace,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,5,17,29.4,27,5,44.4,35.6,11,45.5,41.1,24,0,0.0,0,5.5,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Home,D,0,0,West Ham,1,0,1,100.0,1,0.0,0.0,0,0,0,0,3,10,30.0,17,4,41.2,34.0,8,37.5,38.1,13,0,0.0,0,,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,L,2,3,Arsenal,6,3,3,66.7,0,2.1,-0.9,1,1,0,0,5,17,29.4,16,6,56.3,39.7,12,66.7,48.8,18,1,5.6,0,3.5,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,Burnley,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,1,14,7.1,15,3,33.3,34.3,9,100.0,67.8,7,0,0.0,3,26.0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,W,5,1,Norwich City,5,1,4,80.0,0,0.9,-0.1,0,0,0,0,8,24,33.3,22,5,72.7,46.5,10,80.0,59.2,17,0,0.0,0,15.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Brighton,5,1,4,80.0,0,1.2,+0.2,0,0,0,0,1,9,11.1,17,7,35.3,30.8,9,33.3,39.1,14,0,0.0,0,12.0,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Away,L,0,3,Manchester City,9,3,6,66.7,0,1.6,-1.4,0,0,0,0,9,17,52.9,27,6,33.3,32.4,12,66.7,51.7,15,0,0.0,1,26.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Liverpool,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,10,36,27.8,24,2,79.2,49.7,18,94.4,64.5,30,0,0.0,0,5.5,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,2,Wolves,5,2,3,60.0,0,2.2,+0.2,0,0,0,0,5,14,35.7,22,5,36.4,33.5,10,60.0,46.8,11,0,0.0,0,,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,5,0,5,100.0,1,0.6,+0.6,0,0,0,0,8,14,57.1,24,10,41.7,34.4,5,80.0,53.2,16,1,6.3,0,7.5,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,D,2,2,Manchester Utd,6,2,5,66.7,0,1.1,+0.1,0,0,0,0,3,25,12.0,26,4,73.1,45.2,10,60.0,47.6,18,0,0.0,0,7.3,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Chelsea,9,2,7,77.8,0,1.8,-0.2,0,0,0,0,9,15,60.0,19,4,52.6,36.8,8,62.5,48.8,22,1,4.5,0,4.0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,4,Leicester City,8,4,4,50.0,0,4.4,+0.4,0,0,0,0,6,25,24.0,25,4,68.0,45.8,10,80.0,56.9,16,0,0.0,4,18.4,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,3,2,1,33.3,0,0.8,-1.2,0,0,0,0,7,25,28.0,27,5,70.4,47.7,11,54.5,41.5,24,1,4.2,2,14.3,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,3,Southampton,8,3,5,62.5,0,1.5,-1.5,0,0,0,0,3,8,37.5,26,13,30.8,31.0,4,0.0,17.5,19,2,10.5,0,5.5,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Norwich City,5,0,5,100.0,1,0.7,+0.7,0,0,0,0,4,17,23.5,19,6,42.1,36.1,10,90.0,54.9,20,1,5.0,0,4.0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,L,0,3,Watford,6,3,3,66.7,0,3.0,0.0,1,1,0,0,4,10,40.0,22,5,31.8,31.4,6,50.0,42.7,20,0,0.0,0,6.3,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,W,2,1,Burnley,1,1,0,0.0,0,0.8,0.0,0,0,0,0,7,20,35.0,20,2,60.0,45.6,13,61.5,42.2,34,2,5.9,0,5.0,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Home,L,1,6,Manchester City,11,6,5,45.5,0,3.7,-2.3,0,0,0,0,7,20,35.0,17,5,47.1,41.6,12,100.0,59.5,8,0,0.0,0,,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,Brighton,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,10,14,71.4,20,2,50.0,36.7,6,66.7,47.7,7,0,0.0,2,16.6,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,2,1,Watford,2,1,1,50.0,0,1.6,+0.6,0,0,0,0,6,12,50.0,32,5,34.4,33.2,2,50.0,28.5,11,1,9.1,1,11.0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,1,2,Bournemouth,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,4,10,40.0,23,5,39.1,34.3,6,16.7,23.5,9,2,22.2,1,17.8,Match Report
