,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Away,L,1,3,Tottenham,1,7,4,57.1,0.14,0.25,19.8,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Bournemouth,1,21,7,33.3,0.05,0.14,18.6,1,0,0,2.0,2.0,0.10,-1.0,-1.0,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Home,W,2,0,Everton,2,7,3,42.9,0.29,0.67,19.8,0,0,0,1.0,1.0,0.15,+1.0,+1.0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,1,Crystal Palace,0,10,2,20.0,0.00,0.00,24.9,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Home,D,0,0,West Ham,0,10,5,50.0,0.00,0.00,18.0,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,L,2,3,Arsenal,2,14,9,64.3,0.14,0.22,19.0,2,0,0,1.5,1.5,0.11,+0.5,+0.5,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,Burnley,2,16,3,18.8,0.13,0.67,20.0,1,0,0,1.0,1.0,0.06,+1.0,+1.0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,W,5,1,Norwich City,5,21,11,52.4,0.24,0.45,18.9,0,0,1,3.0,2.1,0.10,+2.0,+2.9,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Brighton,2,24,8,33.3,0.08,0.25,16.9,3,0,0,3.0,3.0,0.13,-1.0,-1.0,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Away,L,0,3,Manchester City,0,11,5,45.5,0.00,0.00,17.0,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Liverpool,1,4,2,50.0,0.25,0.50,13.8,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,2,Wolves,1,13,4,30.8,0.08,0.25,23.2,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,2,17,8,47.1,0.12,0.25,17.6,1,0,0,2.3,2.3,0.14,-0.3,-0.3,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,D,2,2,Manchester Utd,2,9,3,33.3,0.22,0.67,15.9,0,0,0,1.2,1.2,0.14,+0.8,+0.8,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Chelsea,1,9,3,33.3,0.11,0.33,14.2,0,0,0,1.0,1.0,0.12,0.0,0.0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,4,Leicester City,1,15,2,13.3,0.07,0.50,15.2,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,0,7,0,0.0,0.00,,20.4,0,0,1,1.1,0.3,0.04,-1.1,-0.3,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,3,Southampton,1,19,6,31.6,0.05,0.17,19.1,2,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Norwich City,1,11,2,18.2,0.09,0.50,17.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,L,0,3,Watford,0,11,2,18.2,0.00,0.00,21.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,W,2,1,Burnley,2,11,6,54.5,0.18,0.33,16.0,0,0,0,1.3,1.3,0.12,+0.7,+0.7,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Home,L,1,6,Manchester City,1,6,0,0.0,0.00,,16.2,0,1,1,1.1,0.3,0.06,-0.1,-0.3,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,Brighton,1,8,3,37.5,0.13,0.33,16.4,1,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,2,1,Watford,2,16,5,31.3,0.13,0.40,15.8,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,1,2,Bournemouth,1,17,4,23.5,0.06,0.25,13.6,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Match Report
25,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-16,14:00 (16:00),Matchweek 26,Sun,Home,L,2,3,Tottenham,1,18,4,22.2,0.06,0.25,14.8,1,0,0,1.8,1.8,0.10,-0.8,-0.8,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,2,Southampton,0,4,1,25.0,0.00,0.00,16.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Match Report
29,2020-03-09,20:00 (22:00),Matchweek 29,Mon,Away,L,0,4,Leicester City,0,4,1,25.0,0.00,0.00,15.4,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,0,14,6,42.9,0.00,0.00,10.0,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Home,L,1,2,Chelsea,1,8,4,50.0,0.13,0.25,15.0,1,0,0,1.0,1.0,0.15,0.0,0.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,1,14,2,14.3,0.07,0.50,18.3,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
