,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,18,13,13,3,2,9,15,60.0,6,6,1,5,13,31,15,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,15,9,8,6,1,1,10,10.0,9,16,5,11,11,26,26,1,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,8,5,2,4,2,2,9,22.2,7,15,9,6,16,24,23,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,14,11,7,7,0,8,16,50.0,8,12,4,8,22,36,21,1,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,18,9,9,7,2,6,16,37.5,10,11,4,7,13,31,37,1,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,8,6,6,2,0,3,11,27.3,8,15,8,7,15,23,27,1,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,8,4,3,3,2,6,12,50.0,6,14,7,7,12,20,21,0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,14,8,7,6,1,5,17,29.4,12,17,4,13,19,33,36,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,16,8,4,8,4,8,18,44.4,10,12,3,9,10,26,24,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,0,0,Watford,16,9,10,5,1,7,16,43.8,9,9,1,8,15,31,23,1,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Home,W,1,0,Manchester Utd,13,7,4,8,1,6,16,37.5,10,13,5,8,19,32,37,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,14,10,9,4,1,6,15,40.0,9,8,6,2,8,22,25,2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Wolves,9,6,2,7,0,4,11,36.4,7,8,4,4,12,21,21,0,Match Report
