,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,22,12,2,1,3,3,1,1,0,0,0,1,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,21,17,2,0,1,1,0,2,1,0,0,0,1,0,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,17,10,2,1,0,3,1,2,1,0,0,0,1,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,15,13,1,1,0,0,0,2,2,0,0,0,0,0,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,23,13,3,1,1,3,2,4,1,0,1,1,1,0,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,10,5,1,2,0,1,1,6,4,1,1,0,0,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,23,14,5,1,3,0,0,4,4,0,0,0,0,0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,18,12,3,1,0,1,1,0,0,0,0,0,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,21,15,3,0,1,2,0,0,0,0,0,0,0,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,0,0,Watford,27,20,2,0,2,2,1,0,0,0,0,0,0,0,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Home,W,1,0,Manchester Utd,21,17,0,1,1,2,0,2,1,0,1,0,0,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,29,24,0,0,2,1,2,2,2,0,0,0,0,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Wolves,16,9,2,0,3,2,0,2,0,1,0,1,0,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,2,3,Tottenham,37,26,3,4,2,2,0,4,1,1,1,0,1,0,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Away,L,0,1,Crystal Palace,11,8,1,0,0,1,1,1,0,0,0,0,0,1,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,L,0,3,Liverpool,7,6,0,0,0,0,1,0,0,0,0,0,0,0,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,W,1,0,Chelsea,17,7,3,2,4,0,1,2,1,0,0,1,0,0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Burnley,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,D,1,1,Arsenal,22,15,3,2,1,1,0,2,2,0,0,0,0,0,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Away,L,0,2,Brighton,15,11,1,1,0,1,1,1,0,0,0,0,0,1,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,0,4,West Ham,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
21,2020-01-12,14:00 (16:00),Matchweek 22,Sun,Home,L,0,3,Watford,21,16,1,1,0,2,1,0,0,0,0,0,0,0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,L,0,1,Norwich City,9,5,3,0,0,1,0,0,0,0,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,3,1,Brighton,19,13,2,1,0,1,2,4,3,0,1,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,2,1,Aston Villa,27,17,3,0,3,4,0,3,2,0,0,1,0,0,Match Report
25,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-09,14:00 (16:00),Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,16,11,1,2,1,1,0,1,0,0,0,1,0,0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,3,Burnley,20,18,0,1,0,1,0,0,0,0,0,0,0,0,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,2,2,Chelsea,17,12,3,1,1,0,0,4,2,2,0,0,0,0,Match Report
30,2020-03-07,12:30 (14:30),Matchweek 29,Sat,Away,L,1,2,Liverpool,12,9,1,1,0,1,0,2,2,0,0,0,0,0,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Home,L,0,2,Crystal Palace,18,10,6,1,0,1,0,0,0,0,0,0,0,0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,L,0,1,Wolves,8,5,1,1,0,0,1,0,0,0,0,0,0,0,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,21,13,1,2,1,4,0,1,0,0,0,1,0,0,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,2,5,Manchester Utd,9,7,0,1,1,0,0,2,1,0,1,0,0,0,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,0,0,Tottenham,14,7,4,1,1,1,0,0,0,0,0,0,0,0,Match Report
36,2020-07-12,19:00 (20:00),Matchweek 35,Sun,Home,W,4,1,Leicester City,12,9,1,1,0,1,0,4,2,0,1,0,1,0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,L,1,2,Manchester City,26,22,1,1,1,1,0,2,2,0,0,0,0,0,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Home,L,0,2,Southampton,14,10,2,0,2,0,0,0,0,0,0,0,0,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,3,1,Everton,24,15,3,1,2,2,1,5,2,1,0,1,1,0,Match Report
40,,,,,,9-7-22,40,65,,671,465,70,34,37,47,18,65,36,6,7,8,6,2,
