,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,1,10,10.0,17,5,29.4,35.6,9,55.6,48.7,13,0,0.0,0,,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,7,1,6,85.7,0,1.5,+0.5,0,0,0,0,9,31,29.0,30,3,70.0,47.1,11,90.9,64.8,25,2,8.0,0,6.0,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,15,28,53.6,27,2,85.2,55.3,5,100.0,69.6,7,0,0.0,0,,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,6,3,3,50.0,0,2.8,-0.2,0,0,0,0,1,12,8.3,21,8,38.1,32.3,7,57.1,47.0,8,0,0.0,0,15.0,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,4,17,23.5,25,6,40.0,35.9,12,58.3,42.4,20,0,0.0,0,7.3,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,6,1,5,100.0,0,2.0,+1.0,1,1,0,0,8,22,36.4,19,5,47.4,39.9,16,81.3,56.7,20,0,0.0,1,22.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,6,2,4,66.7,0,1.0,-1.0,0,0,0,0,1,10,10.0,25,8,32.0,29.9,4,50.0,40.3,14,0,0.0,0,4.0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,2,8,25.0,18,5,27.8,30.8,10,30.0,34.4,17,0,0.0,1,21.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,4,10,40.0,22,3,27.3,30.4,6,66.7,49.8,12,1,8.3,1,14.0,Match Report
