,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,2,0,0,10,17,1,14,13,13,0,0,0,51,13,20,39.4,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,2,0,0,13,10,2,14,11,9,1,0,0,46,21,28,42.9,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,1,0,0,7,13,2,15,16,5,0,0,0,57,15,16,48.4,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,3,0,0,11,9,1,17,22,11,0,0,0,60,21,15,58.3,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,0,0,0,5,14,4,7,13,9,0,0,0,55,23,24,48.9,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,3,0,0,9,8,2,10,15,6,0,1,0,63,26,22,54.2,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,3,0,0,7,8,2,17,12,4,0,0,0,57,24,25,49.0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,2,0,0,6,12,0,16,19,8,0,0,0,59,26,14,65.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,1,0,0,8,11,2,33,10,8,0,0,0,53,18,24,42.9,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,0,0,Watford,3,0,0,8,14,3,25,15,9,0,0,0,50,15,12,55.6,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Home,W,1,0,Manchester Utd,4,0,0,14,12,1,13,19,7,0,0,0,56,14,6,70.0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,0,0,0,5,10,1,24,8,10,0,0,0,47,19,23,45.2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Wolves,4,1,1,10,9,0,18,12,6,0,0,0,37,12,21,36.4,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,2,3,Tottenham,2,0,0,12,9,0,23,15,6,0,0,0,53,13,30,30.2,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Away,L,0,1,Crystal Palace,3,0,0,15,6,0,30,8,12,0,0,0,44,26,17,60.5,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,L,0,3,Liverpool,0,0,0,5,6,5,3,16,7,0,0,0,62,15,14,51.7,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,W,1,0,Chelsea,2,0,0,14,9,1,16,19,5,0,0,0,47,25,31,44.6,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Burnley,2,0,0,13,20,2,21,6,10,0,0,0,44,23,22,51.1,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,D,1,1,Arsenal,4,0,0,5,12,1,19,7,7,0,0,0,47,14,12,53.8,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Away,L,0,2,Brighton,2,0,0,11,9,0,8,13,9,0,0,0,50,21,23,47.7,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,0,4,West Ham,2,0,0,12,3,3,15,6,10,0,1,0,58,22,18,55.0,Match Report
21,2020-01-12,14:00 (16:00),Matchweek 22,Sun,Home,L,0,3,Watford,1,0,0,3,13,0,21,11,6,0,0,0,54,29,41,41.4,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,L,0,1,Norwich City,2,1,0,10,8,3,14,18,9,0,1,0,54,28,22,56.0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,3,1,Brighton,1,0,0,9,12,2,10,21,5,0,0,0,58,18,18,50.0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,2,1,Aston Villa,3,1,1,10,13,1,13,21,10,0,0,0,45,31,26,54.4,Match Report
25,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2020-02-09,14:00 (16:00),Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,3,0,0,8,10,1,15,7,5,0,0,0,62,28,40,41.2,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,3,Burnley,3,0,0,9,8,1,22,6,6,0,1,0,46,21,18,53.8,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,2,2,Chelsea,2,0,0,8,5,1,11,12,4,0,0,0,57,19,23,45.2,Match Report
