,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,532,472,59,18,0,3,14,27,3,1,1,0,411,1,12,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,328,280,46,14,0,3,14,14,5,2,0,0,229,2,8,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,275,237,36,16,1,2,15,7,4,4,0,0,186,2,7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,479,430,48,11,1,2,17,21,5,2,2,0,362,1,18,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,376,317,55,11,2,0,7,23,7,3,2,0,252,4,10,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,339,284,53,8,0,2,10,22,5,2,3,0,202,2,20,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,513,458,53,10,2,3,17,30,6,4,1,0,390,2,9,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,441,395,46,12,1,1,16,17,5,3,2,0,333,0,11,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,473,418,53,12,1,3,33,28,6,5,0,0,360,2,8,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,0,0,Watford,557,502,52,17,1,1,25,17,10,5,4,0,448,3,10,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Home,W,1,0,Manchester Utd,403,353,49,15,1,4,13,21,4,1,0,0,286,1,13,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,620,569,50,13,0,2,24,25,4,2,1,0,508,1,7,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Wolves,487,436,51,16,2,3,18,21,5,4,1,0,383,0,13,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,2,3,Tottenham,499,449,50,10,2,5,23,20,8,3,5,0,382,0,12,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Away,L,0,1,Crystal Palace,631,589,42,7,0,5,30,18,9,6,2,0,525,0,8,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,L,0,3,Liverpool,332,291,36,6,0,0,3,15,1,0,0,0,217,5,7,Match Report
