,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,53,625,45,212,293,123,16,625,8,17,47.1,13,5,406,27,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,37,439,79,175,142,129,18,438,3,5,60.0,17,5,227,14,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,26,386,63,165,137,93,14,386,6,13,46.2,15,9,181,15,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,45,597,57,185,283,139,13,597,15,21,71.4,19,16,358,33,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,41,511,87,222,203,92,16,511,6,14,42.9,16,10,250,18,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,35,477,87,203,207,74,12,477,12,26,46.2,17,16,199,15,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,50,624,62,227,272,134,19,624,11,19,57.9,18,15,386,37,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,47,588,82,243,251,101,17,588,14,19,73.7,16,18,329,31,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,48,581,57,175,241,168,24,581,8,14,57.1,19,8,353,28,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,0,0,Watford,59,662,65,266,280,125,15,662,10,16,62.5,11,14,445,28,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Home,W,1,0,Manchester Utd,43,537,81,208,202,135,23,537,5,13,38.5,22,10,282,26,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,65,736,66,211,361,168,26,736,9,21,42.9,16,6,504,33,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Wolves,47,578,54,197,280,112,13,578,9,14,64.3,12,6,378,18,Match Report
