,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,1,1,Sheffield Utd,1,13,3,23.1,0.08,0.33,18.8,1,0,0,1.3,1.3,0.14,-0.3,-0.3,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Aston Villa,2,11,3,27.3,0.09,0.33,19.4,0,1,1,1.6,0.9,0.08,+0.4,+0.1,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Home,L,1,3,Manchester City,1,10,7,70.0,0.10,0.14,14.2,1,0,0,2.2,2.2,0.22,-1.2,-1.2,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,1,3,Leicester City,1,8,2,25.0,0.13,0.50,21.3,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Home,W,3,1,Everton,3,13,6,46.2,0.23,0.50,18.9,3,0,0,1.4,1.4,0.11,+1.6,+1.6,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Away,W,3,1,Southampton,3,6,3,50.0,0.50,1.00,19.8,1,0,0,1.2,1.2,0.20,+1.8,+1.8,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,West Ham,2,13,5,38.5,0.15,0.40,11.7,0,0,0,1.9,1.9,0.15,+0.1,+0.1,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,L,0,1,Arsenal,0,10,2,20.0,0.00,0.00,19.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,0,0,Norwich City,0,11,2,18.2,0.00,0.00,20.6,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,0,0,Watford,0,15,5,33.3,0.00,0.00,21.8,2,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Home,W,1,0,Manchester Utd,1,13,6,46.2,0.08,0.17,16.8,1,0,0,1.9,1.9,0.15,-0.9,-0.9,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,1,16,4,25.0,0.06,0.25,17.0,1,0,0,1.8,1.8,0.11,-0.8,-0.8,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Wolves,1,9,2,22.2,0.11,0.50,14.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,2,3,Tottenham,2,20,6,30.0,0.10,0.33,19.2,1,0,0,1.1,1.1,0.06,+0.9,+0.9,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Away,L,0,1,Crystal Palace,0,6,3,50.0,0.00,0.00,17.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,L,0,3,Liverpool,0,3,0,0.0,0.00,,15.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,W,1,0,Chelsea,1,11,2,18.2,0.09,0.50,11.6,0,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Burnley,0,3,0,0.0,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,D,1,1,Arsenal,1,12,4,33.3,0.08,0.25,15.0,1,0,0,2.0,2.0,0.17,-1.0,-1.0,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Away,L,0,2,Brighton,0,10,2,20.0,0.00,0.00,18.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,0,4,West Ham,0,3,2,66.7,0.00,0.00,13.1,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Match Report
21,2020-01-12,14:00 (16:00),Matchweek 22,Sun,Home,L,0,3,Watford,0,10,1,10.0,0.00,0.00,25.2,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,L,0,1,Norwich City,0,6,3,50.0,0.00,0.00,12.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,3,1,Brighton,2,11,3,27.3,0.18,0.67,16.2,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,2,1,Aston Villa,2,16,6,37.5,0.13,0.33,18.9,2,0,0,2.2,2.2,0.14,-0.2,-0.2,Match Report
25,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,For Bournemouth,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-09,14:00 (16:00),Matchweek 26,Sun,Away,L,1,2,Sheffield Utd,1,10,2,20.0,0.10,0.50,13.6,0,0,0,1.4,1.4,0.15,-0.4,-0.4,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,3,Burnley,0,12,4,33.3,0.00,0.00,17.1,1,0,0,1.8,1.8,0.15,-1.8,-1.8,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,2,2,Chelsea,2,9,5,55.6,0.22,0.40,9.6,0,0,0,1.4,1.4,0.15,+0.6,+0.6,Match Report
30,2020-03-07,12:30 (14:30),Matchweek 29,Sat,Away,L,1,2,Liverpool,1,6,3,50.0,0.17,0.33,15.6,0,0,0,1.4,1.4,0.23,-0.4,-0.4,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Home,L,0,2,Crystal Palace,0,12,1,8.3,0.00,0.00,19.7,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,L,0,1,Wolves,0,4,0,0.0,0.00,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,L,1,4,Newcastle Utd,1,12,1,8.3,0.08,1.00,17.4,1,0,0,1.6,1.6,0.14,-0.6,-0.6,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,2,5,Manchester Utd,2,6,2,33.3,0.17,0.50,17.9,0,1,1,1.8,1.0,0.18,+0.2,0.0,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,0,0,Tottenham,0,9,2,22.2,0.00,0.00,12.4,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Match Report
36,2020-07-12,19:00 (20:00),Matchweek 35,Sun,Home,W,4,1,Leicester City,3,8,3,37.5,0.25,0.67,17.5,0,1,1,2.5,1.7,0.21,+0.5,+0.3,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,L,1,2,Manchester City,1,15,3,20.0,0.07,0.33,15.3,1,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Home,L,0,2,Southampton,0,11,3,27.3,0.00,0.00,16.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,3,1,Everton,3,12,6,50.0,0.17,0.33,19.4,1,1,1,1.5,0.8,0.06,+1.5,+1.2,Match Report
40,,,,,,9-7-22,40,65,,38,385,117,30.4,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7,
