,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,W,3,0,Watford,2,5,3,60.0,0.40,0.67,17.7,0,0,0,0.8,0.8,0.17,+1.2,+1.2,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,D,1,1,West Ham,1,16,4,25.0,0.06,0.25,16.9,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,0,2,Southampton,0,12,3,25.0,0.00,0.00,15.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,4,Manchester City,0,6,1,16.7,0.00,0.00,14.7,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,D,1,1,Burnley,1,14,5,35.7,0.07,0.20,16.1,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,0,16,2,12.5,0.00,0.00,18.3,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Chelsea,0,8,1,12.5,0.00,0.00,17.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Home,W,3,0,Tottenham,3,17,6,35.3,0.18,0.50,17.6,1,0,0,2.4,2.4,0.15,+0.6,+0.6,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Aston Villa,1,20,5,25.0,0.05,0.20,20.3,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,W,3,2,Everton,2,7,3,42.9,0.14,0.33,20.4,2,1,1,1.2,0.4,0.06,+0.8,+0.6,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,0,Norwich City,2,21,5,23.8,0.10,0.40,14.8,0,0,0,2.7,2.7,0.13,-0.7,-0.7,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,3,Manchester Utd,1,6,2,33.3,0.17,0.50,11.0,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Leicester City,0,7,0,0.0,0.00,,15.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,1,2,Liverpool,1,12,5,41.7,0.08,0.20,21.0,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
14,2019-12-05,20:15 (22:15),Matchweek 15,Thu,Away,W,2,1,Arsenal,2,20,9,45.0,0.10,0.22,14.6,1,0,0,1.7,1.7,0.09,+0.3,+0.3,Match Report
15,2019-12-08,16:30 (18:30),Matchweek 16,Sun,Home,D,2,2,Wolves,2,13,5,38.5,0.15,0.40,18.0,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Away,D,1,1,Crystal Palace,1,15,10,66.7,0.07,0.10,19.3,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Sheffield Utd,0,9,2,22.2,0.00,0.00,19.4,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Away,L,1,2,Tottenham,1,11,5,45.5,0.09,0.20,21.5,1,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Home,W,2,0,Bournemouth,2,16,6,37.5,0.13,0.33,20.9,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Home,D,1,1,Chelsea,1,16,5,31.3,0.06,0.20,16.9,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,1,Everton,0,9,2,22.2,0.00,0.00,15.8,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Aston Villa,1,10,2,20.0,0.10,0.50,13.6,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,L,1,3,Bournemouth,1,21,8,38.1,0.05,0.13,19.4,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,D,3,3,West Ham,2,19,6,31.6,0.11,0.33,17.7,2,0,0,1.9,1.9,0.10,+0.1,+0.1,Match Report
25,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-08,17:30 (19:30),Matchweek 26,Sat,Home,D,1,1,Watford,0,10,2,20.0,0.00,0.00,15.9,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,D,1,1,Sheffield Utd,1,9,2,22.2,0.11,0.50,16.3,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Home,L,0,1,Crystal Palace,0,23,8,34.8,0.00,0.00,17.8,0,0,0,2.2,2.2,0.09,-2.2,-2.2,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,D,0,0,Wolves,0,7,1,14.3,0.00,0.00,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
31,2020-06-20,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Arsenal,2,9,5,55.6,0.22,0.40,16.2,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Match Report
32,2020-06-23,18:00 (19:00),Matchweek 31,Tue,Away,D,0,0,Leicester City,0,9,1,11.1,0.00,0.00,27.6,1,0,1,1.1,0.3,0.03,-1.1,-0.3,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Home,L,0,3,Manchester Utd,0,8,2,25.0,0.00,0.00,17.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
34,2020-07-04,12:30 (13:30),Matchweek 33,Sat,Away,W,1,0,Norwich City,1,8,2,25.0,0.13,0.50,16.5,0,0,0,1.0,1.0,0.13,0.0,0.0,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Home,L,1,3,Liverpool,1,12,2,16.7,0.08,0.50,13.1,0,0,0,2.4,2.4,0.20,-1.4,-1.4,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Home,L,0,5,Manchester City,0,3,0,0.0,0.00,,13.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Away,D,1,1,Southampton,1,10,2,20.0,0.10,0.50,15.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Home,D,0,0,Newcastle Utd,0,11,3,27.3,0.00,0.00,17.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
