,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,W,3,0,Southampton,392,329,58,13,0,2,14,36,2,2,0,0,220,5,9,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,282,233,48,18,0,2,30,14,7,6,1,0,178,1,7,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,D,1,1,Wolves,342,303,38,10,0,1,19,12,3,3,0,0,220,1,4,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Home,L,0,3,Liverpool,360,306,49,16,3,0,13,18,6,5,0,0,216,5,9,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,D,1,1,Brighton,338,271,65,14,0,1,18,31,6,5,0,0,207,2,8,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,2,0,Norwich City,411,362,47,9,0,3,25,23,7,7,0,0,305,2,9,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Aston Villa,316,266,50,10,1,2,12,21,3,3,0,0,201,0,11,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,1,0,Everton,377,325,47,10,1,2,18,23,7,6,0,0,246,5,9,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Leicester City,362,301,58,5,1,2,19,36,4,4,0,0,251,3,8,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Home,L,2,4,Chelsea,427,393,33,7,2,6,19,13,5,5,0,0,304,1,6,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,518,462,56,8,0,2,23,28,6,6,0,0,377,0,10,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,3,0,West Ham,350,297,46,10,4,1,24,19,11,8,0,0,233,7,7,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,3,0,Watford,283,236,45,15,1,2,16,15,5,5,0,0,177,2,3,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,2,Crystal Palace,403,353,49,10,2,7,26,24,5,5,0,0,262,1,8,Match Report
