,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,W,3,0,Southampton,3,10,4,40.0,0.30,0.75,15.0,0,0,0,0.9,0.9,0.09,+2.1,+2.1,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,1,18,4,22.2,0.06,0.25,14.9,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,D,1,1,Wolves,1,13,4,30.8,0.08,0.25,16.3,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Home,L,0,3,Liverpool,0,7,2,28.6,0.00,0.00,19.7,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,D,1,1,Brighton,1,7,1,14.3,0.14,1.00,17.7,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,2,0,Norwich City,2,13,6,46.2,0.15,0.33,14.4,1,0,0,2.0,2.0,0.15,0.0,0.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Aston Villa,2,10,3,30.0,0.20,0.67,13.2,2,0,0,1.5,1.5,0.15,+0.5,+0.5,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,1,0,Everton,1,9,3,33.3,0.11,0.33,15.6,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Leicester City,1,13,4,30.8,0.08,0.25,18.4,1,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Home,L,2,4,Chelsea,2,13,5,38.5,0.15,0.40,14.8,0,0,0,2.1,2.1,0.16,-0.1,-0.1,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,0,6,0,0.0,0.00,,14.7,1,0,0,0.8,0.8,0.13,-0.8,-0.8,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,3,0,West Ham,2,14,12,85.7,0.14,0.17,17.4,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Match Report
