,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,5,4,1,40.0,0,3.0,-1.0,1,1,0,0,1,5,20.0,22,2,18.2,32.0,2,50.0,38.0,10,0,0.0,0,10.0,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,4,10,40.0,26,5,34.6,32.8,9,11.1,24.9,14,1,7.1,5,18.4,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,1,7,14.3,26,5,19.2,28.6,3,66.7,47.3,5,0,0.0,2,24.0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,2,2,1,0.0,0,0.7,-0.3,0,0,0,0,1,4,25.0,34,6,8.8,23.6,8,12.5,23.4,9,0,0.0,2,17.3,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,4,2,3,50.0,0,1.1,+0.1,0,0,0,0,6,12,50.0,37,6,21.6,31.7,7,57.1,43.3,19,1,5.3,0,4.0,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,4,12,33.3,29,5,27.6,29.3,5,80.0,48.0,8,1,12.5,2,19.7,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,1,9,11.1,34,2,11.8,26.0,9,55.6,41.3,13,1,7.7,0,7.5,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,3,14,21.4,30,3,30.0,34.5,7,71.4,53.4,8,0,0.0,0,10.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,0,0,0,,1,0.0,0.0,0,0,0,0,0,1,0.0,16,6,0.0,23.8,5,20.0,30.6,7,1,14.3,1,14.0,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,5,2,3,60.0,0,1.0,-1.0,0,0,0,0,4,12,33.3,26,5,19.2,28.5,11,63.6,45.5,14,0,0.0,0,,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,3,1,2,100.0,0,1.3,+0.3,1,1,0,0,2,7,28.6,28,3,17.9,29.3,8,25.0,29.5,10,0,0.0,0,11.0,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,4,7,57.1,21,3,19.0,27.3,7,42.9,38.0,5,0,0.0,0,16.0,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Away,L,1,2,Manchester City,4,2,2,50.0,0,0.6,-1.4,0,0,0,0,4,9,44.4,40,6,20.0,26.5,11,9.1,21.7,11,1,9.1,1,11.0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,1,West Ham,4,1,3,75.0,0,1.5,+0.5,0,0,0,0,0,1,0.0,19,3,5.3,20.2,5,0.0,18.0,9,1,11.1,1,18.7,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Aston Villa,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,0,5,0.0,24,7,12.5,23.8,4,50.0,42.8,22,3,13.6,0,8.0,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Away,L,1,3,Everton,7,3,4,57.1,0,2.5,-0.5,0,0,0,0,1,8,12.5,34,5,23.5,29.9,6,0.0,21.0,9,1,11.1,1,19.8,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,L,0,1,Bournemouth,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,1,9,11.1,31,5,25.8,28.9,6,16.7,24.5,12,1,8.3,3,22.0,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Away,W,2,0,Tottenham,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,5,13,38.5,27,6,33.3,33.7,4,100.0,59.3,11,0,0.0,4,25.8,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,L,0,2,Southampton,3,2,1,33.3,0,1.3,-0.7,0,0,0,0,2,4,50.0,32,5,12.5,27.9,6,0.0,15.5,8,1,12.5,4,22.6,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Away,W,2,1,Arsenal,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,1,7,14.3,25,7,24.0,26.1,6,16.7,24.2,6,0,0.0,1,24.0,Match Report
