,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,567,515,52,17,1,4,19,23,5,4,1,0,469,0,11,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,507,448,56,16,1,3,20,25,4,2,2,0,388,3,18,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,593,543,50,9,1,3,18,27,8,5,1,0,488,0,16,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,761,715,44,10,5,9,14,20,3,1,2,0,654,2,4,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,602,551,50,9,1,2,14,26,5,4,0,0,505,1,8,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,564,496,61,13,4,13,26,34,6,4,1,0,437,7,9,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,602,553,48,14,2,5,12,19,5,2,1,0,509,1,2,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,573,518,55,9,1,2,9,33,4,0,0,1,428,0,12,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,697,638,58,12,1,6,27,29,11,5,5,0,587,1,9,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,734,685,49,7,0,2,16,22,6,2,1,0,616,0,6,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,827,786,41,7,6,7,13,18,6,3,1,0,733,0,6,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,620,568,52,14,1,7,22,23,7,4,2,0,526,0,7,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Away,L,1,2,Manchester City,677,640,33,7,3,2,13,10,2,0,2,0,593,4,5,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,1,West Ham,744,681,60,16,1,6,39,28,9,8,1,0,625,3,13,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Aston Villa,701,658,43,9,1,8,26,19,9,5,4,0,595,0,11,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Away,L,1,3,Everton,652,592,57,16,2,4,24,26,5,0,4,0,544,3,10,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,L,0,1,Bournemouth,659,606,50,14,2,7,42,19,9,1,8,0,519,3,11,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Away,W,2,0,Tottenham,621,579,40,7,3,5,19,23,5,2,1,0,495,2,8,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,L,0,2,Southampton,760,699,60,10,2,8,33,33,8,4,2,0,593,1,21,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Away,W,2,1,Arsenal,633,581,51,15,0,6,23,25,3,1,1,0,516,1,14,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,D,1,1,Brighton,583,533,47,8,0,6,14,27,3,1,2,0,462,3,13,Match Report
