,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,0,0,Everton,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,5,18,27.8,16,2,56.3,41.1,10,90.0,66.7,13,0,0.0,1,13.0,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,3,1,2,66.7,0,1.5,+0.5,0,0,0,0,5,13,38.5,27,4,37.0,36.4,9,33.3,40.7,16,1,6.3,4,16.6,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Manchester Utd,3,1,2,66.7,0,0.9,-0.1,1,0,0,1,12,37,32.4,19,0,89.5,53.1,20,100.0,66.9,22,0,0.0,0,17.0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,1,0,Aston Villa,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,2,9,22.2,26,9,34.6,33.1,4,0.0,22.3,9,0,0.0,0,13.0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,4,Tottenham,5,4,2,20.0,0,1.4,-1.6,0,0,0,0,8,21,38.1,30,6,36.7,34.1,12,83.3,56.8,16,0,0.0,0,,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,D,1,1,Wolves,4,1,3,75.0,0,1.9,+0.9,0,0,0,0,3,17,17.6,20,3,60.0,43.0,6,83.3,57.3,19,1,5.3,0,7.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Norwich City,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,8,20,40.0,16,1,81.3,56.8,7,100.0,67.7,10,0,0.0,3,18.8,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Away,W,2,1,West Ham,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,6,23,26.1,28,1,71.4,46.5,3,100.0,62.7,12,1,8.3,0,9.5,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Home,L,0,2,Manchester City,10,2,8,80.0,0,2.7,+0.7,0,0,0,0,10,27,37.0,21,3,76.2,48.0,11,100.0,71.4,20,0,0.0,0,5.0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,D,2,2,Arsenal,6,2,4,66.7,0,1.9,-0.1,0,0,0,0,17,27,63.0,23,2,73.9,46.3,12,83.3,57.6,23,0,0.0,0,11.0,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Home,L,0,2,Leicester City,5,2,3,60.0,0,0.4,-1.6,0,0,0,0,0,4,0.0,15,7,20.0,27.5,5,20.0,29.6,15,0,0.0,0,12.3,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Away,L,0,2,Chelsea,5,2,3,60.0,0,3.1,+1.1,0,0,0,0,8,16,50.0,14,4,35.7,36.2,13,84.6,54.5,13,0,0.0,0,4.5,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Liverpool,4,2,2,50.0,0,1.9,-0.1,0,0,0,0,12,27,44.4,35,5,60.0,39.5,7,85.7,57.9,23,0,0.0,1,13.0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,2,0,Burnley,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,6,23,26.1,34,10,44.1,35.8,8,100.0,60.1,16,1,6.3,0,3.5,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Home,W,1,0,Bournemouth,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,8,29,27.6,19,0,89.5,51.3,12,100.0,63.7,21,1,4.8,0,7.0,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,D,0,0,Watford,3,0,3,100.0,1,0.7,+0.7,0,0,0,0,4,19,21.1,29,10,44.8,33.8,7,85.7,59.6,22,0,0.0,0,12.0,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Home,D,1,1,Brighton,10,1,9,90.0,0,3.4,+2.4,0,0,0,0,8,19,42.1,25,9,60.0,40.0,4,100.0,66.5,23,2,8.7,2,13.0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,11,17,64.7,23,8,47.8,36.8,8,75.0,50.0,16,1,6.3,0,7.5,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,2,1,West Ham,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,3,5,60.0,11,5,18.2,29.7,8,37.5,35.8,16,2,12.5,0,8.0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,D,1,1,Southampton,5,1,4,80.0,0,1.5,+0.5,0,0,0,0,4,19,21.1,21,1,61.9,43.1,6,100.0,65.8,30,2,6.7,1,10.3,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,D,1,1,Norwich City,4,1,3,75.0,0,1.5,+0.5,0,0,0,0,7,14,50.0,20,4,35.0,32.2,7,100.0,59.1,10,0,0.0,0,,Match Report
21,2020-01-11,12:30 (14:30),Matchweek 22,Sat,Home,D,1,1,Arsenal,4,1,3,75.0,0,1.7,+0.7,0,0,0,0,3,12,25.0,20,2,45.0,40.2,4,75.0,54.8,7,0,0.0,0,,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,2,2,Manchester City,6,2,4,66.7,0,2.2,+0.2,0,0,0,0,12,36,33.3,27,1,81.5,50.9,14,100.0,64.1,39,1,2.6,1,11.0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,2,Southampton,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,7,24,29.2,26,9,53.8,40.2,10,100.0,65.5,16,0,0.0,0,13.0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,L,0,1,Sheffield Utd,3,1,3,66.7,0,0.8,+0.8,0,0,0,0,6,12,50.0,27,7,37.0,35.3,8,25.0,32.3,15,3,20.0,2,12.0,Match Report
25,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Away,L,1,3,Everton,8,3,5,62.5,0,3.1,+0.1,0,0,0,0,4,13,30.8,28,6,35.7,32.2,6,50.0,48.0,18,1,5.6,0,9.0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,1,0,Newcastle Utd,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,5,15,33.3,18,3,50.0,36.2,6,100.0,66.8,13,0,0.0,1,32.0,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Away,W,1,0,Brighton,8,0,8,100.0,1,1.5,+1.5,0,0,0,0,4,19,21.1,18,6,55.6,41.4,10,90.0,59.2,24,0,0.0,0,5.0,Match Report
