,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,0,0,Everton,318,254,60,13,1,2,14,30,6,5,0,1,179,4,8,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,550,484,65,15,0,6,12,35,4,2,2,0,430,1,11,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Manchester Utd,253,207,46,8,0,1,7,15,1,1,0,0,151,0,6,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,1,0,Aston Villa,463,413,48,15,0,5,30,15,13,6,5,0,375,2,7,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,4,Tottenham,389,334,55,19,0,0,10,16,3,2,1,0,297,0,11,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,D,1,1,Wolves,501,445,55,9,2,2,9,32,6,2,2,1,391,1,9,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Norwich City,463,415,46,9,0,0,21,24,5,1,3,0,361,2,12,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Away,W,2,1,West Ham,522,480,38,12,1,3,9,19,2,1,0,1,416,4,7,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Home,L,0,2,Manchester City,303,261,39,11,0,2,8,13,1,0,1,0,220,3,6,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,D,2,2,Arsenal,386,334,51,18,0,1,25,13,5,3,0,1,289,1,1,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Home,L,0,2,Leicester City,393,331,60,17,0,2,20,30,5,3,1,1,298,2,11,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Away,L,0,2,Chelsea,405,363,42,9,1,2,7,17,0,0,0,0,307,0,6,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Liverpool,384,335,46,6,1,0,25,21,9,9,0,0,279,3,2,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,2,0,Burnley,517,463,53,13,3,1,17,25,6,1,2,1,382,1,13,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Home,W,1,0,Bournemouth,296,240,55,14,1,1,15,22,6,4,2,0,205,1,3,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,D,0,0,Watford,431,386,44,16,0,2,11,18,2,1,1,0,311,1,6,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Home,D,1,1,Brighton,361,316,45,13,0,0,14,23,3,2,1,0,261,0,5,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,554,499,55,13,1,3,16,27,5,5,0,0,457,0,8,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,2,1,West Ham,601,552,48,12,1,1,19,19,7,6,1,0,491,1,8,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,D,1,1,Southampton,368,316,50,15,0,1,8,23,4,2,2,0,261,2,8,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,D,1,1,Norwich City,587,523,63,14,0,5,26,35,5,3,2,0,462,1,16,Match Report
