,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,0,0,Crystal Palace,64,680,62,213,335,135,16,680,5,14,35.7,26,12,429,35,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,1,0,Watford,44,482,81,189,202,98,16,482,19,29,65.5,16,24,232,15,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Away,L,0,2,Aston Villa,64,688,45,150,343,204,27,688,13,15,86.7,15,10,467,43,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Home,W,3,2,Wolves,58,644,77,173,299,180,31,644,9,16,56.3,21,12,388,32,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Away,L,1,3,Bournemouth,59,635,48,177,316,150,27,635,10,16,62.5,17,12,401,42,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,69,709,43,167,286,259,41,709,15,25,60.0,24,5,475,38,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Home,L,1,3,Manchester City,37,495,78,197,184,121,23,495,14,20,70.0,17,9,310,22,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,0,1,Burnley,58,605,59,199,275,137,20,605,5,12,41.7,9,8,387,28,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Home,W,2,0,West Ham,51,564,53,153,242,178,34,564,9,19,47.4,13,3,312,42,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,L,2,3,Brighton,45,577,57,187,278,117,17,577,6,17,35.3,17,7,365,21,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Home,D,1,1,Tottenham,47,518,42,154,207,166,27,518,16,19,84.2,23,12,317,41,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,W,2,1,Southampton,53,559,50,149,237,181,45,559,13,18,72.2,18,7,300,29,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Norwich City,57,584,56,175,234,182,41,584,4,12,33.3,13,10,342,36,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,L,1,2,Leicester City,32,460,74,177,170,116,19,460,13,20,65.0,11,12,208,19,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Away,L,2,5,Liverpool,42,498,45,159,236,111,20,498,8,15,53.3,18,8,265,26,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Home,W,3,1,Chelsea,31,434,65,164,156,118,21,434,5,10,50.0,19,9,169,13,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,D,1,1,Manchester Utd,34,441,75,164,156,128,17,441,4,13,30.8,19,5,193,14,Match Report
