,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,0,0,Crystal Palace,0,10,2,20.0,0.00,0.00,17.1,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,1,0,Watford,1,12,2,16.7,0.08,0.50,19.0,1,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Away,L,0,2,Aston Villa,0,12,1,8.3,0.00,0.00,21.0,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Home,W,3,2,Wolves,3,15,6,40.0,0.20,0.50,15.6,0,0,0,1.3,1.3,0.09,+1.7,+1.7,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Away,L,1,3,Bournemouth,1,14,5,35.7,0.07,0.20,16.4,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,0,16,3,18.8,0.00,0.00,18.3,1,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Home,L,1,3,Manchester City,1,12,7,58.3,0.08,0.14,10.7,1,0,0,2.4,2.4,0.21,-1.4,-1.4,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,0,1,Burnley,0,11,2,18.2,0.00,0.00,15.7,1,0,0,1.3,1.3,0.12,-1.3,-1.3,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Home,W,2,0,West Ham,2,19,10,52.6,0.11,0.20,16.4,1,0,0,2.1,2.1,0.11,-0.1,-0.1,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,L,2,3,Brighton,1,10,6,60.0,0.10,0.17,17.2,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Home,D,1,1,Tottenham,1,7,3,42.9,0.14,0.33,14.3,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,W,2,1,Southampton,2,24,5,20.8,0.08,0.40,15.8,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Norwich City,0,18,7,38.9,0.00,0.00,17.6,1,0,0,0.9,0.9,0.05,-0.9,-0.9,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,L,1,2,Leicester City,1,11,3,27.3,0.09,0.33,13.8,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Away,L,2,5,Liverpool,2,12,4,33.3,0.17,0.50,15.5,1,0,0,1.5,1.5,0.13,+0.5,+0.5,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Home,W,3,1,Chelsea,3,13,7,53.8,0.23,0.43,17.1,0,0,0,1.8,1.8,0.14,+1.2,+1.2,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,D,1,1,Manchester Utd,0,8,3,37.5,0.00,0.00,23.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
17,2019-12-21,12:30 (14:30),Matchweek 18,Sat,Home,D,0,0,Arsenal,0,9,0,0.0,0.00,,19.7,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Burnley,1,21,5,23.8,0.05,0.20,19.2,1,0,0,1.4,1.4,0.07,-0.4,-0.4,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,2,22,9,40.9,0.09,0.22,14.7,1,0,0,2.9,2.9,0.14,-0.9,-0.9,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,1,2,Manchester City,1,7,2,28.6,0.14,0.50,11.3,0,0,0,1.0,1.0,0.15,0.0,0.0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,1,0,Brighton,1,14,6,42.9,0.07,0.17,13.2,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,West Ham,1,11,3,27.3,0.09,0.33,12.7,0,0,0,1.7,1.7,0.16,-0.7,-0.7,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,2,17,8,47.1,0.12,0.25,18.8,1,0,0,1.8,1.8,0.11,+0.2,+0.2,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,3,2,Watford,3,12,5,41.7,0.25,0.60,12.8,1,0,0,2.2,2.2,0.25,+0.8,+0.8,Match Report
25,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Home,W,3,1,Crystal Palace,3,14,8,57.1,0.21,0.38,15.4,1,0,0,2.5,2.5,0.18,+0.5,+0.5,Match Report
28,2020-02-23,16:30 (18:30),Matchweek 27,Sun,Away,L,2,3,Arsenal,2,17,5,29.4,0.12,0.40,15.6,0,0,0,2.7,2.7,0.17,-0.7,-0.7,Match Report
