,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,20,13,4,12,4,8,20,40.0,12,10,1,9,7,27,13,0,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,29,16,11,17,1,9,19,47.4,10,18,2,16,15,44,21,1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,13,7,8,4,1,3,14,21.4,11,13,2,11,11,24,41,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,22,13,10,10,2,6,21,28.6,15,19,4,15,14,36,28,1,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,30,17,11,16,3,16,29,55.2,13,12,0,12,10,40,12,0,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,23,14,14,9,0,9,16,56.3,7,13,1,12,12,35,24,0,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,24,13,8,12,4,7,16,43.8,9,12,0,12,15,39,9,0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,16,10,10,2,4,8,24,33.3,16,12,4,8,19,35,29,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,22,13,8,10,4,9,14,64.3,5,11,6,5,11,33,23,0,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Away,W,9,0,Southampton,26,15,11,10,5,7,26,26.9,19,10,1,9,5,31,9,0,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Away,W,2,0,Crystal Palace,22,15,10,11,1,7,20,35.0,13,13,4,9,8,30,26,0,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Home,W,2,0,Arsenal,19,9,8,5,6,10,20,50.0,10,11,3,8,11,30,20,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Brighton,17,9,13,3,1,9,16,56.3,7,8,3,5,12,29,28,1,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,W,2,1,Everton,19,10,7,10,2,7,20,35.0,13,9,3,6,10,29,11,0,Match Report
