,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,69,832,42,184,447,209,27,832,16,28,57.1,13,7,586,37,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,50,637,68,210,301,132,17,637,13,23,56.5,19,15,371,27,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,51,630,85,266,236,129,18,630,9,15,60.0,14,10,397,25,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,55,718,58,234,332,159,28,718,8,16,50.0,15,6,460,35,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,58,635,48,199,287,154,25,635,12,23,52.2,13,8,393,23,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,44,545,70,192,222,136,26,545,11,17,64.7,17,12,301,31,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,68,885,32,169,448,271,27,885,6,16,37.5,17,7,670,50,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,49,635,76,256,250,139,15,635,13,25,52.0,11,7,377,31,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,63,734,61,247,289,199,26,734,7,16,43.8,9,6,499,23,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Away,W,9,0,Southampton,72,873,35,198,415,267,38,872,24,38,63.2,13,6,642,57,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Away,W,2,0,Crystal Palace,55,597,67,217,267,116,24,597,6,15,40.0,13,10,383,21,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Home,W,2,0,Arsenal,51,656,52,128,335,198,36,656,9,17,52.9,19,10,452,32,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Brighton,47,568,63,220,230,127,36,567,9,13,69.2,14,7,361,20,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,W,2,1,Everton,68,818,52,196,417,209,35,818,13,23,56.5,9,10,574,46,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,0,Watford,62,723,45,209,350,170,18,722,13,20,65.0,9,10,485,32,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,4,1,Aston Villa,59,647,62,172,304,174,45,647,9,17,52.9,11,6,422,37,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,D,1,1,Norwich City,57,699,41,167,302,237,30,699,13,24,54.2,17,6,464,34,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Away,L,1,3,Manchester City,38,550,103,294,206,55,8,550,8,18,44.4,13,9,352,11,Match Report
18,2019-12-26,20:00 (22:00),Matchweek 19,Thu,Home,L,0,4,Liverpool,41,581,100,281,208,98,8,581,11,19,57.9,26,2,360,21,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,W,2,1,West Ham,57,695,56,227,335,138,21,694,11,20,55.0,24,15,455,35,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,W,3,0,Newcastle Utd,76,988,35,150,612,228,25,988,5,11,45.5,21,9,779,45,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,L,1,2,Southampton,58,637,66,235,305,99,10,637,9,18,50.0,22,14,356,23,Match Report
22,2020-01-19,14:00 (16:00),Matchweek 23,Sun,Away,L,1,2,Burnley,55,658,69,204,271,188,35,657,10,20,50.0,12,6,414,39,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,4,1,West Ham,67,737,46,168,357,216,41,736,10,15,66.7,19,4,516,41,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Home,D,2,2,Chelsea,49,636,78,248,261,135,20,636,7,14,50.0,19,8,390,28,Match Report
25,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-14,20:00 (22:00),Matchweek 26,Fri,Away,D,0,0,Wolves,58,659,61,209,299,156,20,659,11,19,57.9,13,10,436,25,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Home,L,0,1,Manchester City,33,472,66,206,183,88,9,472,18,26,69.2,18,7,263,17,Match Report
29,2020-02-28,20:00 (22:00),Matchweek 28,Fri,Away,L,0,1,Norwich City,57,628,47,193,236,207,28,628,9,17,52.9,15,14,420,27,Match Report
