,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Home,W,4,1,Norwich City,25,19,1,1,1,2,1,5,4,1,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Southampton,26,21,1,1,1,2,0,4,3,0,1,0,0,0,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Home,W,3,1,Arsenal,46,37,4,3,1,1,0,6,3,1,1,0,1,0,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Away,W,3,0,Burnley,25,19,1,1,1,1,2,2,2,0,0,0,0,0,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,37,27,5,2,1,1,1,5,2,0,2,0,0,1,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,W,2,1,Chelsea,11,7,3,0,0,1,0,4,1,2,0,0,1,0,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,23,17,2,2,2,0,0,2,2,0,0,0,0,0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,2,1,Leicester City,32,24,2,3,1,2,0,3,2,0,0,0,1,0,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Away,D,1,1,Manchester Utd,19,16,1,1,0,1,0,2,2,0,0,0,0,0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,W,2,1,Tottenham,39,25,6,2,2,3,1,3,2,0,0,0,1,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,2,1,Aston Villa,43,31,4,2,4,1,1,4,2,1,0,1,0,0,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Home,W,3,1,Manchester City,23,20,1,1,0,0,1,6,6,0,0,0,0,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Crystal Palace,23,17,3,0,2,0,1,3,2,0,0,1,0,0,Match Report
