,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Home,W,4,1,Norwich City,57,621,44,116,306,205,35,621,11,15,73.3,14,8,407,39,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Southampton,63,702,69,244,304,158,19,702,10,18,55.6,15,7,442,30,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Home,W,3,1,Arsenal,52,712,41,123,274,323,48,711,9,15,60.0,16,10,500,43,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Away,W,3,0,Burnley,63,703,68,233,330,149,20,703,10,18,55.6,12,6,463,39,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,74,988,38,137,545,313,45,988,10,18,55.6,20,12,784,51,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,W,2,1,Chelsea,45,570,76,181,262,131,21,570,8,10,80.0,14,13,331,28,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,70,865,71,218,446,206,26,865,7,12,58.3,15,6,635,38,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,2,1,Leicester City,51,678,66,198,314,174,31,677,16,24,66.7,16,8,420,31,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Away,D,1,1,Manchester Utd,66,808,53,205,418,191,13,808,5,9,55.6,26,6,565,29,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,W,2,1,Tottenham,67,797,51,148,403,252,38,796,6,17,35.3,22,5,559,37,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,2,1,Aston Villa,73,823,38,171,364,294,44,823,4,14,28.6,16,10,568,54,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Home,W,3,1,Manchester City,45,575,115,276,202,101,22,575,13,22,59.1,13,6,350,17,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Crystal Palace,60,675,71,180,337,161,19,675,3,13,23.1,7,4,445,34,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,2,1,Brighton,44,621,71,211,284,133,32,621,8,16,50.0,13,3,407,28,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Home,W,5,2,Everton,58,656,74,243,300,117,19,656,13,21,61.9,17,11,429,27,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,W,3,0,Bournemouth,73,984,31,181,572,235,38,984,12,17,70.6,15,7,783,55,Match Report
16,2019-12-14,12:30 (14:30),Matchweek 17,Sat,Home,W,2,0,Watford,68,815,55,214,430,179,29,815,10,25,40.0,22,6,569,41,Match Report
17,2019-12-26,20:00 (22:00),Matchweek 19,Thu,Away,W,4,0,Leicester City,59,751,45,183,376,199,30,750,18,23,78.3,20,11,535,30,Match Report
18,2019-12-29,16:30 (18:30),Matchweek 20,Sun,Home,W,1,0,Wolves,62,777,53,181,430,169,29,777,7,15,46.7,20,15,551,34,Match Report
19,2020-01-02,20:00 (22:00),Matchweek 21,Thu,Home,W,2,0,Sheffield Utd,74,1079,44,257,596,237,36,1079,8,13,61.5,5,9,896,45,Match Report
20,2020-01-11,17:30 (19:30),Matchweek 22,Sat,Away,W,1,0,Tottenham,67,913,44,189,505,225,51,913,20,24,83.3,15,9,706,40,Match Report
21,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Home,W,2,0,Manchester Utd,53,670,84,220,266,193,30,670,16,25,64.0,21,7,427,33,Match Report
22,2020-01-23,20:00 (22:00),Matchweek 24,Thu,Away,W,2,1,Wolves,53,726,68,163,445,124,18,726,13,18,72.2,14,6,521,26,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Away,W,2,0,West Ham,70,968,48,176,598,197,28,967,10,17,58.8,14,10,760,44,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,4,0,Southampton,62,681,94,269,283,135,24,681,8,14,57.1,9,12,428,26,Match Report
25,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-15,17:30 (19:30),Matchweek 26,Sat,Away,W,1,0,Norwich City,63,772,31,117,394,270,38,772,5,16,31.3,16,6,552,39,Match Report
28,2020-02-24,20:00 (22:00),Matchweek 27,Mon,Home,W,3,2,West Ham,69,816,46,146,409,268,50,816,16,27,59.3,17,8,557,34,Match Report
29,2020-02-29,17:30 (19:30),Matchweek 28,Sat,Away,L,0,3,Watford,70,867,55,182,452,237,29,867,9,16,56.3,14,6,634,42,Match Report
30,2020-03-07,12:30 (14:30),Matchweek 29,Sat,Home,W,2,1,Bournemouth,74,874,44,162,432,284,30,874,14,20,70.0,13,3,650,34,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Away,D,0,0,Everton,69,729,30,174,360,203,19,729,7,12,58.3,15,15,527,30,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Home,W,4,0,Crystal Palace,73,1024,18,104,629,297,42,1024,7,16,43.8,20,11,806,47,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Away,L,0,4,Manchester City,53,673,55,237,306,136,25,673,5,9,55.6,14,6,494,29,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Home,W,2,0,Aston Villa,70,799,54,207,387,209,28,799,10,13,76.9,17,5,584,47,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Away,W,3,1,Brighton,56,647,58,196,261,198,36,647,9,17,52.9,15,4,426,42,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Home,D,1,1,Burnley,71,824,51,209,343,276,46,824,12,14,85.7,19,9,598,44,Match Report
37,2020-07-15,20:15 (21:15),Matchweek 36,Wed,Away,L,1,2,Arsenal,69,767,30,171,341,262,50,767,11,20,55.0,15,12,548,49,Match Report
38,2020-07-22,20:15 (21:15),Matchweek 37,Wed,Home,W,5,3,Chelsea,50,714,64,230,357,135,20,714,14,15,93.3,22,8,489,23,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,3,1,Newcastle Utd,74,938,35,123,587,235,23,938,13,30,43.3,19,6,737,45,Match Report
40,,,,,,32-3-3,85,33,,62.9,29602,2083,7175,14848,7811,1181,29597,387,658,58.8,607,306,21083,1404,
