,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Away,W,5,0,West Ham,578,546,28,7,10,1,6,14,1,0,0,0,494,4,6,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,661,622,36,5,4,10,31,12,13,2,1,2,574,3,14,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,773,729,40,9,4,8,10,21,5,1,1,0,682,4,7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,4,0,Brighton,631,601,29,8,3,6,13,10,8,3,0,0,554,1,6,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,736,689,47,9,0,6,46,16,16,5,7,0,621,0,10,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,8,0,Watford,778,741,35,8,1,7,23,20,5,2,1,0,689,2,7,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Away,W,3,1,Everton,662,628,29,5,4,11,13,16,2,0,1,0,592,5,5,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,0,2,Wolves,779,724,54,14,0,3,36,26,9,2,0,0,669,1,8,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,736,687,47,11,2,5,29,22,8,6,0,1,626,2,14,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,642,600,41,7,2,5,23,16,13,2,4,2,554,1,8,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,1,Southampton,740,674,63,8,0,10,62,34,17,5,0,0,608,3,12,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,562,505,52,12,0,7,31,17,13,4,2,0,445,5,4,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,603,547,53,13,0,8,19,20,8,3,0,0,503,3,8,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,828,779,46,7,5,8,38,21,10,5,3,1,708,3,5,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Away,W,4,1,Burnley,831,786,43,9,1,6,28,21,6,1,1,0,717,2,10,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,735,679,56,8,1,3,49,25,16,3,4,1,624,0,15,Match Report
16,2019-12-15,16:30 (18:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,708,669,38,11,4,6,10,19,3,1,1,0,633,1,6,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,730,685,44,9,1,9,14,19,6,6,0,0,647,1,9,Match Report
18,2019-12-27,19:45 (21:45),Matchweek 19,Fri,Away,L,2,3,Wolves,382,348,33,5,1,1,2,12,1,0,1,0,301,1,7,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,906,864,41,8,2,5,14,16,8,4,0,0,811,1,9,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,2,1,Everton,807,770,34,12,2,8,11,13,3,0,2,0,719,3,6,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,909,883,26,5,4,3,16,12,4,2,0,0,829,0,8,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,750,701,49,7,3,4,58,20,14,3,8,0,640,0,8,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,656,601,54,14,1,8,27,23,13,7,2,0,554,1,9,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,739,702,37,9,2,7,24,18,6,3,2,0,634,0,11,Match Report
25,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Home,W,2,0,West Ham,949,910,38,10,7,2,35,16,6,4,0,0,842,1,9,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,724,679,44,12,4,8,20,20,7,7,0,0,631,1,11,Match Report
29,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,825,768,55,12,2,7,31,27,11,6,0,0,708,2,13,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,724,685,38,9,5,8,9,18,5,1,0,0,664,1,8,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Home,W,5,0,Burnley,848,816,31,7,1,10,9,17,3,0,0,0,771,1,7,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,755,709,45,15,0,6,20,16,7,6,0,0,674,1,9,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,537,493,41,8,0,4,11,23,3,1,2,0,445,3,8,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Away,L,0,1,Southampton,882,831,48,8,0,8,42,23,13,2,4,0,757,3,11,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,878,851,25,6,3,10,21,10,8,2,2,0,804,2,10,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Away,W,5,0,Brighton,846,801,44,12,2,10,21,20,7,3,2,0,754,1,9,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,787,754,31,11,0,1,14,5,3,2,0,0,685,2,6,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Away,W,4,0,Watford,803,759,41,16,2,12,25,9,8,5,2,0,703,3,9,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,770,733,37,6,2,2,24,17,9,4,1,0,691,0,7,Match Report
40,,,,,,26-3-9,102,35,,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,
