,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,19,16,0,1,0,1,1,7,6,0,0,0,1,0,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,17,9,5,0,1,2,0,2,2,0,0,0,0,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,38,21,5,1,2,7,2,3,2,0,0,0,0,1,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,43,36,1,3,0,0,3,2,2,0,0,0,0,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,19,8,2,2,2,3,2,2,1,0,0,0,1,0,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,13,13,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,26,20,2,2,1,1,0,2,2,0,0,0,0,0,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,24,15,5,1,1,2,0,0,0,0,0,0,0,0,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,14,12,0,2,0,0,0,2,2,0,0,0,0,0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,W,3,1,Norwich City,35,21,4,3,5,2,0,6,5,0,0,1,0,0,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Away,L,0,1,Bournemouth,30,24,2,1,0,1,2,0,0,0,0,0,0,0,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,3,1,Brighton,39,30,1,3,1,3,1,4,3,0,0,0,1,0,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,22,19,0,3,0,0,0,6,6,0,0,0,0,0,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,D,2,2,Aston Villa,30,28,1,1,0,0,0,2,2,0,0,0,0,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Tottenham,20,17,0,1,0,2,0,2,0,0,1,0,1,0,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Away,W,2,1,Manchester City,21,19,0,1,0,1,0,4,3,0,0,0,1,0,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,D,1,1,Everton,45,34,2,3,3,2,1,2,2,0,0,0,0,0,Match Report
17,2019-12-22,14:00 (16:00),Matchweek 18,Sun,Away,L,0,2,Watford,35,25,2,2,1,2,3,0,0,0,0,0,0,0,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,39,31,1,3,2,2,0,4,3,0,1,0,0,0,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Away,W,2,0,Burnley,22,15,0,2,2,3,0,3,2,0,1,0,0,0,Match Report
20,2020-01-01,20:00 (22:00),Matchweek 21,Wed,Away,L,0,2,Arsenal,17,13,1,1,0,2,0,0,0,0,0,0,0,0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,4,0,Norwich City,25,23,1,0,0,1,0,8,6,1,0,0,1,0,Match Report
22,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Away,L,0,2,Liverpool,13,10,0,1,1,0,1,0,0,0,0,0,0,0,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Home,L,0,2,Burnley,45,37,3,1,2,2,0,0,0,0,0,0,0,0,Match Report
24,2020-02-01,17:30 (19:30),Matchweek 25,Sat,Home,D,0,0,Wolves,26,18,1,1,2,2,2,0,0,0,0,0,0,0,Match Report
25,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Away,W,2,0,Chelsea,17,12,1,1,1,1,1,4,3,1,0,0,0,0,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Home,W,3,0,Watford,38,30,0,3,2,1,2,6,3,0,1,1,1,0,Match Report
