,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,386,486,79.4,6621,2153,184,213,86.4,145,163,89.0,42,70,60.0,3,1.3,1.1,9,16,9,3,20,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,606,711,85.2,10031,3095,303,334,90.7,216,234,92.3,61,92,66.3,1,0.2,0.5,5,38,11,1,33,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,512,613,83.5,8610,2586,250,286,87.4,190,218,87.2,53,75,70.7,1,1.0,1.3,14,51,8,2,42,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,467,603,77.4,7951,2694,212,245,86.5,198,237,83.5,40,75,53.3,1,1.3,1.2,18,30,16,3,44,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,288,384,75.0,4692,1911,148,176,84.1,103,127,81.1,25,48,52.1,0,0.2,0.2,6,18,4,0,24,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,425,526,80.8,7132,2504,199,215,92.6,166,195,85.1,39,74,52.7,0,0.9,1.1,8,30,6,2,28,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,381,490,77.8,6701,2304,184,212,86.8,146,173,84.4,46,75,61.3,1,0.6,0.7,11,29,2,0,19,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,549,653,84.1,9839,2590,229,257,89.1,243,269,90.3,61,95,64.2,0,0.8,0.9,11,43,5,0,32,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,231,358,64.5,4174,1676,102,125,81.6,93,124,75.0,26,75,34.7,1,0.7,0.2,7,16,5,2,11,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,W,3,1,Norwich City,428,522,82.0,7180,2203,221,243,90.9,138,168,82.1,51,76,67.1,2,2.3,1.3,12,38,7,1,28,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Away,L,0,1,Bournemouth,411,545,75.4,6889,2213,186,217,85.7,174,208,83.7,35,84,41.7,0,0.7,0.8,14,27,8,2,25,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,3,1,Brighton,304,393,77.4,4888,1925,164,185,88.6,97,120,80.8,32,61,52.5,3,3.2,1.4,17,20,8,1,31,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,508,632,80.4,8794,2809,239,276,86.6,218,258,84.5,46,78,59.0,2,1.2,0.8,9,35,4,0,33,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,D,2,2,Aston Villa,480,582,82.5,8385,2900,210,236,89.0,216,242,89.3,48,80,60.0,0,0.7,1.2,11,38,14,1,42,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Tottenham,362,486,74.5,5996,2018,180,215,83.7,141,174,81.0,30,67,44.8,0,0.4,0.4,7,25,4,1,31,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Away,W,2,1,Manchester City,211,292,72.3,3590,1410,87,111,78.4,93,105,88.6,24,54,44.4,1,0.6,0.4,10,15,8,1,21,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,D,1,1,Everton,490,595,82.4,8191,2772,237,265,89.4,206,241,85.5,33,58,56.9,1,0.7,0.6,17,50,5,1,44,Match Report
17,2019-12-22,14:00 (16:00),Matchweek 18,Sun,Away,L,0,2,Watford,497,602,82.6,8296,2902,241,274,88.0,201,227,88.5,41,63,65.1,0,1.7,1.5,14,48,9,1,48,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,755,851,88.7,12286,3432,389,429,90.7,277,303,91.4,68,81,84.0,2,1.3,1.2,15,54,12,3,51,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Away,W,2,0,Burnley,429,537,79.9,7221,2360,210,229,91.7,181,211,85.8,32,68,47.1,2,1.5,0.7,8,34,9,1,37,Match Report
20,2020-01-01,20:00 (22:00),Matchweek 21,Wed,Away,L,0,2,Arsenal,493,590,83.6,7204,2215,269,294,91.5,167,188,88.8,26,51,51.0,0,0.6,0.9,8,35,3,0,29,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,4,0,Norwich City,583,692,84.2,9575,2824,304,339,89.7,200,227,88.1,57,78,73.1,2,2.0,2.3,9,54,17,3,40,Match Report
22,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Away,L,0,2,Liverpool,381,502,75.9,5163,1856,236,255,92.5,100,149,67.1,18,52,34.6,0,1.1,1.3,5,21,5,1,18,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Home,L,0,2,Burnley,632,759,83.3,9711,3059,320,357,89.6,233,273,85.3,44,67,65.7,0,1.0,1.6,20,41,14,2,37,Match Report
24,2020-02-01,17:30 (19:30),Matchweek 25,Sat,Home,D,0,0,Wolves,592,685,86.4,9746,2812,305,336,90.8,235,261,90.0,41,59,69.5,0,0.6,0.9,9,51,14,1,50,Match Report
25,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
