,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,18,13,2,3,0,0,0,0,0,0,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,23,16,4,2,1,0,0,2,1,0,1,0,0,0,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,16,12,2,1,0,0,1,2,2,0,0,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,24,16,3,0,1,3,1,2,2,0,0,0,0,0,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,16,13,0,1,1,0,1,2,2,0,0,0,0,0,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,22,15,2,3,0,1,1,0,0,0,0,0,0,0,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,22,15,2,2,1,2,0,2,1,0,1,0,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,7,7,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,22,13,3,1,2,3,0,1,1,0,0,0,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,15,11,1,0,1,1,1,5,3,1,0,0,1,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,35,25,2,2,5,0,1,2,0,0,0,2,0,0,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Away,L,0,2,Aston Villa,21,14,1,3,0,1,2,0,0,0,0,0,0,0,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Home,D,2,2,Manchester City,12,6,1,1,0,3,1,5,2,1,0,0,1,1,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Away,W,2,0,Sheffield Utd,12,9,1,0,0,1,1,4,4,0,0,0,0,0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,W,2,1,Southampton,20,11,3,0,2,2,2,3,1,0,0,1,1,0,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,1,Burnley,15,12,1,0,0,0,2,0,0,0,0,0,0,0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,W,1,0,Crystal Palace,16,11,2,2,0,0,1,2,1,1,0,0,0,0,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Away,L,1,4,Manchester Utd,12,8,2,1,0,1,0,2,2,0,0,0,0,0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,L,1,2,Everton,32,21,3,4,3,0,1,2,1,1,0,0,0,0,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,L,0,3,Leicester City,9,7,0,0,0,1,1,0,0,0,0,0,0,0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,D,1,1,Wolves,9,7,0,1,0,0,1,2,2,0,0,0,0,0,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Home,W,1,0,Chelsea,12,9,2,0,0,1,0,1,1,0,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,D,2,2,Everton,14,8,3,0,3,0,0,2,0,0,0,2,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Norwich City,28,15,6,1,3,3,0,0,0,0,0,0,0,0,Match Report
25,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-16,16:30 (18:30),Matchweek 26,Sun,Away,L,0,4,Arsenal,20,13,2,2,0,2,1,0,0,0,0,0,0,0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,1,Crystal Palace,18,11,1,2,1,0,3,0,0,0,0,0,0,0,Match Report
