,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Away,L,1,4,Liverpool,43,530,125,254,200,78,14,530,10,16,62.5,12,15,304,25,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,3,1,Newcastle Utd,63,743,67,230,346,172,27,743,11,15,73.3,15,10,550,24,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Home,L,2,3,Chelsea,46,648,90,292,263,98,13,648,5,20,25.0,13,11,411,21,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,2,West Ham,52,649,59,177,363,114,15,649,19,27,70.4,9,21,456,29,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Home,W,3,2,Manchester City,32,487,144,309,125,55,14,487,8,17,47.1,10,6,252,15,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,2,Burnley,58,674,92,279,240,164,23,674,10,15,66.7,17,9,456,28,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Crystal Palace,55,690,74,274,269,154,25,690,11,21,52.4,22,8,461,37,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,L,1,5,Aston Villa,57,646,84,211,220,223,50,646,17,24,70.8,14,9,405,37,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,0,0,Bournemouth,52,622,84,256,226,144,20,622,10,18,55.6,13,8,400,27,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,L,1,3,Manchester Utd,46,575,88,258,234,96,15,575,13,23,56.5,18,14,345,13,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,2,Brighton,42,521,82,196,242,91,14,521,17,23,73.9,9,13,320,17,Match Report
11,2019-11-08,20:00 (22:00),Matchweek 12,Fri,Home,L,0,2,Watford,66,767,52,214,342,220,31,767,17,31,54.8,28,11,549,38,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Everton,43,490,88,194,180,120,22,490,10,22,45.5,16,8,245,21,Match Report
