,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Away,L,1,4,Liverpool,1,12,5,41.7,0.08,0.20,17.3,1,0,0,0.9,0.9,0.08,+0.1,+0.1,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,3,1,Newcastle Utd,3,15,8,53.3,0.20,0.38,14.4,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Home,L,2,3,Chelsea,2,6,5,83.3,0.33,0.40,12.8,0,0,0,1.1,1.1,0.18,+0.9,+0.9,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,2,West Ham,0,8,3,37.5,0.00,0.00,14.3,0,0,0,1.4,1.4,0.17,-1.4,-1.4,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Home,W,3,2,Manchester City,3,7,3,42.9,0.43,1.00,13.1,1,0,0,1.5,1.5,0.21,+1.5,+1.5,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,2,Burnley,0,11,2,18.2,0.00,0.00,18.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Crystal Palace,0,10,3,30.0,0.00,0.00,17.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,L,1,5,Aston Villa,1,21,5,23.8,0.05,0.20,16.8,0,0,0,2.6,2.6,0.13,-1.6,-1.6,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,0,0,Bournemouth,0,10,1,10.0,0.00,0.00,22.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,L,1,3,Manchester Utd,1,10,3,30.0,0.10,0.33,17.3,0,0,0,1.0,1.0,0.10,0.0,0.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,2,Brighton,0,7,0,0.0,0.00,,16.0,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
11,2019-11-08,20:00 (22:00),Matchweek 12,Fri,Home,L,0,2,Watford,0,17,5,29.4,0.00,0.00,22.3,1,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Everton,2,13,5,38.5,0.15,0.40,13.9,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Home,D,2,2,Arsenal,2,15,8,53.3,0.13,0.25,18.1,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Southampton,1,10,3,30.0,0.10,0.33,17.7,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,2,Sheffield Utd,1,14,4,28.6,0.07,0.25,18.4,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,D,1,1,Leicester City,1,10,3,30.0,0.10,0.33,17.4,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,2,Wolves,1,13,7,53.8,0.08,0.14,17.9,1,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,0,1,Aston Villa,0,16,5,31.3,0.00,0.00,15.6,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,D,2,2,Tottenham,1,5,2,40.0,0.20,0.50,18.7,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,D,1,1,Crystal Palace,1,15,4,26.7,0.07,0.25,15.3,1,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,4,Manchester Utd,0,8,3,37.5,0.00,0.00,25.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,W,1,0,Bournemouth,1,15,3,20.0,0.00,0.00,22.5,1,1,1,1.8,1.1,0.07,-0.8,-1.1,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Away,L,1,2,Tottenham,1,12,1,8.3,0.00,0.00,19.8,0,1,1,1.5,0.7,0.06,-0.5,-0.7,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,D,0,0,Newcastle Utd,0,19,4,21.1,0.00,0.00,16.4,0,0,0,2.2,2.2,0.12,-2.2,-2.2,Match Report
25,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-15,17:30 (19:30),Matchweek 26,Sat,Home,L,0,1,Liverpool,0,5,1,20.0,0.00,0.00,16.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Away,L,0,3,Wolves,0,6,4,66.7,0.00,0.00,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
29,2020-02-28,20:00 (22:00),Matchweek 28,Fri,Home,W,1,0,Leicester City,1,11,6,54.5,0.09,0.17,19.1,2,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Sheffield Utd,0,12,4,33.3,0.00,0.00,14.8,0,0,0,2.4,2.4,0.25,-2.4,-2.4,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Home,L,0,3,Southampton,0,9,1,11.1,0.00,0.00,19.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,L,0,1,Everton,0,9,1,11.1,0.00,0.00,23.7,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,L,0,4,Arsenal,0,8,2,25.0,0.00,0.00,30.7,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report
34,2020-07-04,12:30 (13:30),Matchweek 33,Sat,Home,L,0,1,Brighton,0,12,1,8.3,0.00,0.00,18.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Away,L,1,2,Watford,1,12,3,25.0,0.08,0.33,17.0,1,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Home,L,0,4,West Ham,0,11,2,18.2,0.00,0.00,19.8,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
37,2020-07-14,20:15 (21:15),Matchweek 36,Tue,Away,L,0,1,Chelsea,0,2,0,0.0,0.00,,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
38,2020-07-18,17:30 (18:30),Matchweek 37,Sat,Home,L,0,2,Burnley,0,6,2,33.3,0.00,0.00,13.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,0,5,Manchester City,0,5,4,80.0,0.00,0.00,19.8,0,0,0,1.0,1.0,0.20,-1.0,-1.0,Match Report
40,,,,,,5-6-27,26,75,,25,407,126,31.0,0.06,0.18,18.0,16,2,2,37.0,35.4,0.09,-12.0,-12.4,
