,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Away,L,1,4,Liverpool,0.9,1.8,43,53333,Grant Hanley,4-2-3-1,Michael Oliver,Match Report,
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,3,1,Newcastle Utd,1.7,0.9,63,27059,Grant Hanley,4-2-3-1,Stuart Attwell,Match Report,
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Home,L,2,3,Chelsea,1.1,1.5,46,27032,Grant Hanley,4-2-3-1,Martin Atkinson,Match Report,
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,2,West Ham,1.4,1.9,52,59950,Christoph Zimmermann,4-2-3-1,Paul Tierney,Match Report,
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Home,W,3,2,Manchester City,1.5,2.3,32,27035,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,2,Burnley,0.8,2.0,58,19712,Alexander Tettey,4-2-3-1,David Coote,Match Report,
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Crystal Palace,0.7,1.5,55,25477,Ben Godfrey,4-2-3-1,Jonathan Moss,Match Report,
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,L,1,5,Aston Villa,2.6,3.0,57,27045,Ben Godfrey,4-2-3-1,Andy Madley,Match Report,
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.4,0.7,52,10669,Alexander Tettey,4-1-4-1,Lee Mason,Match Report,
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,L,1,3,Manchester Utd,1.0,4.2,46,27108,Alexander Tettey,4-1-4-1,Stuart Attwell,Match Report,
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,2,Brighton,0.4,2.7,42,30539,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,
