,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,1,1,Bournemouth,12,8,1,0,1,1,1,1,0,0,0,1,0,0,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Home,W,1,0,Crystal Palace,24,16,4,1,2,0,1,2,2,0,0,0,0,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Leicester City,13,10,1,0,1,1,0,2,2,0,0,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,2,2,Chelsea,16,13,0,2,0,0,1,2,1,0,1,0,0,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,0,1,Southampton,35,24,5,3,1,1,1,0,0,0,0,0,0,0,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,W,2,0,Everton,4,3,0,0,0,0,1,1,1,0,0,0,0,0,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Home,L,0,1,Liverpool,23,18,3,1,1,0,0,0,0,0,0,0,0,0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,D,0,0,Watford,15,10,1,1,1,1,1,0,0,0,0,0,0,0,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Home,W,1,0,Arsenal,16,9,4,0,1,2,0,2,1,1,0,0,0,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,1,1,West Ham,17,11,2,1,2,1,0,2,2,0,0,0,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,3,0,Burnley,20,16,0,1,2,0,1,3,2,0,0,1,0,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,D,1,1,Tottenham,24,16,0,4,2,1,1,2,1,0,1,0,0,0,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Home,D,3,3,Manchester Utd,22,14,4,1,3,0,0,5,4,0,0,1,0,0,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Away,D,1,1,Wolves,18,14,1,2,0,1,0,2,2,0,0,0,0,0,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Home,L,0,2,Newcastle Utd,24,18,1,2,1,2,0,0,0,0,0,0,0,0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,2,1,Norwich City,17,13,0,4,0,0,0,4,3,0,1,0,0,0,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,2,0,Aston Villa,14,14,0,0,0,0,0,4,4,0,0,0,0,0,Match Report
