,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,1,1,Bournemouth,1,0,0,19,9,1,18,14,11,0,0,0,53,20,13,60.6,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Home,W,1,0,Crystal Palace,3,0,0,16,10,0,21,14,11,0,0,0,48,23,27,46.0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Leicester City,1,0,0,11,6,1,32,15,13,0,0,0,50,25,21,54.3,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,2,2,Chelsea,1,0,0,11,6,0,14,17,10,0,0,0,55,23,19,54.8,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,0,1,Southampton,1,1,0,10,6,3,33,10,11,0,0,0,57,16,19,45.7,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,W,2,0,Everton,3,0,0,9,8,1,13,14,10,0,0,0,43,24,19,55.8,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Home,L,0,1,Liverpool,1,0,0,8,4,0,17,12,7,0,0,0,46,20,26,43.5,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,D,0,0,Watford,2,0,0,6,7,3,30,9,9,0,0,0,59,24,26,48.0,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Home,W,1,0,Arsenal,4,0,0,10,11,1,19,13,14,0,0,0,46,27,14,65.9,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,1,1,West Ham,2,0,0,10,7,4,15,14,6,0,0,0,59,24,19,55.8,Match Report
