,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,1,1,Bournemouth,1,8,3,37.5,0.13,0.33,19.0,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Home,W,1,0,Crystal Palace,1,15,3,20.0,0.07,0.33,15.6,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Leicester City,1,7,2,28.6,0.14,0.50,19.0,1,0,0,0.3,0.3,0.05,+0.7,+0.7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,2,2,Chelsea,1,8,2,25.0,0.13,0.50,20.1,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,0,1,Southampton,0,17,4,23.5,0.00,0.00,16.7,0,0,0,1.8,1.8,0.11,-1.8,-1.8,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,W,2,0,Everton,1,2,1,50.0,0.50,1.00,12.8,0,0,0,0.5,0.5,0.23,+0.5,+0.5,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Home,L,0,1,Liverpool,0,12,2,16.7,0.00,0.00,14.0,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,D,0,0,Watford,0,9,3,33.3,0.00,0.00,19.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Home,W,1,0,Arsenal,1,8,2,25.0,0.13,0.50,17.6,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,1,1,West Ham,1,10,3,30.0,0.10,0.33,12.7,0,0,0,1.0,1.0,0.10,0.0,0.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,3,0,Burnley,3,13,6,46.2,0.23,0.50,13.8,0,0,0,2.3,2.3,0.19,+0.7,+0.7,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,D,1,1,Tottenham,1,14,4,28.6,0.07,0.25,19.6,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Home,D,3,3,Manchester Utd,3,12,8,66.7,0.25,0.38,18.0,0,0,0,1.3,1.3,0.13,+1.7,+1.7,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Away,D,1,1,Wolves,1,10,4,40.0,0.10,0.25,13.6,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Home,L,0,2,Newcastle Utd,0,13,6,46.2,0.00,0.00,15.1,1,0,0,1.1,1.1,0.09,-1.1,-1.1,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,2,1,Norwich City,2,9,3,33.3,0.22,0.67,18.2,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,2,0,Aston Villa,2,7,3,42.9,0.29,0.67,11.1,0,0,0,1.7,1.7,0.24,+0.3,+0.3,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,1,0,Brighton,1,7,2,28.6,0.14,0.50,13.1,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,D,1,1,Watford,1,15,3,20.0,0.00,0.00,15.7,0,1,1,2.4,1.6,0.11,-1.4,-1.6,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Away,L,0,2,Manchester City,0,8,0,0.0,0.00,,13.8,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Match Report
20,2020-01-02,20:00 (22:00),Matchweek 21,Thu,Away,L,0,2,Liverpool,0,3,2,66.7,0.00,0.00,13.9,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Match Report
21,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Home,W,1,0,West Ham,1,13,3,23.1,0.08,0.33,15.0,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,Arsenal,1,12,3,25.0,0.08,0.33,15.2,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,1,Manchester City,0,4,1,25.0,0.00,0.00,11.6,0,0,0,0.8,0.8,0.19,-0.8,-0.8,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,1,0,Crystal Palace,0,10,3,30.0,0.00,0.00,18.8,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
25,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-09,14:00 (16:00),Matchweek 26,Sun,Home,W,2,1,Bournemouth,2,16,5,31.3,0.13,0.40,11.3,1,0,0,1.9,1.9,0.13,+0.1,+0.1,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,D,1,1,Brighton,1,13,3,23.1,0.08,0.33,13.8,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Match Report
29,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,W,1,0,Norwich City,1,10,3,30.0,0.10,0.33,13.2,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Away,D,0,0,Aston Villa,0,5,1,20.0,0.00,0.00,15.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
31,2020-06-21,14:00 (15:00),Matchweek 30,Sun,Away,L,0,3,Newcastle Utd,0,7,1,14.3,0.00,0.00,13.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,L,0,3,Manchester Utd,0,4,1,25.0,0.00,0.00,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
33,2020-07-02,18:00 (19:00),Matchweek 32,Thu,Home,W,3,1,Tottenham,3,7,5,71.4,0.43,0.60,13.1,0,0,0,1.6,1.6,0.23,+1.4,+1.4,Match Report
34,2020-07-05,12:00 (13:00),Matchweek 33,Sun,Away,D,1,1,Burnley,1,10,3,30.0,0.10,0.33,14.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,1,0,Wolves,1,7,3,42.9,0.14,0.33,12.9,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report
36,2020-07-11,17:30 (18:30),Matchweek 35,Sat,Home,W,3,0,Chelsea,3,9,4,44.4,0.33,0.75,10.6,0,0,0,2.3,2.3,0.27,+0.7,+0.7,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Away,L,0,2,Leicester City,0,5,1,20.0,0.00,0.00,13.3,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Home,L,0,1,Everton,0,8,0,0.0,0.00,,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,1,3,Southampton,1,5,3,60.0,0.20,0.33,11.6,0,0,0,1.4,1.4,0.29,-0.4,-0.4,Match Report
40,,,,,,14-12-12,39,39,,36,352,109,31.0,0.10,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,
