,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,L,0,3,Burnley,7,5,2,4,1,1,15,6.7,14,10,1,9,10,17,18,1,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Liverpool,15,8,6,7,2,8,18,44.4,10,15,2,13,10,25,30,1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,0,Brighton,19,12,14,4,1,9,20,45.0,11,15,3,12,4,23,24,0,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,25,15,10,13,2,9,19,47.4,10,19,4,15,19,44,26,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,18,9,13,4,1,6,22,27.3,16,12,4,8,9,27,32,0,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Home,L,1,3,Bournemouth,30,20,10,17,3,14,26,53.8,12,19,2,17,9,39,15,1,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,1,2,Tottenham,24,12,10,7,7,14,25,56.0,11,7,1,6,11,35,13,0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,1,4,Chelsea,23,9,8,12,3,12,15,80.0,3,14,2,12,9,32,12,1,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Wolves,9,4,2,4,3,4,17,23.5,13,12,0,12,13,22,19,0,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Home,L,0,9,Leicester City,20,12,11,7,2,14,38,36.8,24,21,5,16,17,37,20,2,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,1,2,Manchester City,20,11,20,0,0,10,34,29.4,24,21,13,8,11,31,80,1,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,L,1,2,Everton,12,5,8,2,2,5,18,27.8,13,18,9,9,6,18,26,2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,D,2,2,Arsenal,18,9,9,5,4,10,30,33.3,20,12,4,8,16,34,22,0,Match Report
13,2019-11-30,17:30 (19:30),Matchweek 14,Sat,Home,W,2,1,Watford,17,11,7,5,5,8,15,53.3,7,8,0,8,12,29,19,2,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Norwich City,27,15,10,13,4,11,22,50.0,11,13,2,11,13,40,15,0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,24,13,12,10,2,16,37,43.2,21,18,6,12,7,31,17,0,Match Report
