,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,L,0,3,Burnley,4,3,1,25.0,0,0.9,-2.1,0,0,0,0,6,26,23.1,20,1,80.0,49.4,11,90.9,55.4,13,0,0.0,1,15.5,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Liverpool,6,2,4,66.7,0,1.8,-0.2,0,0,0,0,5,18,27.8,14,3,78.6,48.7,8,87.5,57.6,20,2,10.0,2,13.3,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,0,Brighton,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,5,19,26.3,18,5,55.6,39.3,10,90.0,60.0,14,0,0.0,1,31.0,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,8,1,7,87.5,0,1.8,+0.8,0,0,0,0,3,19,15.8,19,4,52.6,36.9,10,90.0,59.1,16,0,0.0,3,22.5,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,4,0,4,100.0,1,0.8,+0.8,0,0,0,0,5,17,29.4,22,4,40.9,35.8,10,80.0,56.5,23,0,0.0,0,4.0,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Home,L,1,3,Bournemouth,3,3,0,0.0,0,1.8,-1.2,0,0,0,0,2,10,20.0,15,2,33.3,27.7,6,83.3,51.8,6,0,0.0,2,20.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,1,2,Tottenham,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,3,6,50.0,9,2,44.4,31.9,6,33.3,29.2,9,0,0.0,1,21.0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,1,4,Chelsea,7,4,3,42.9,0,1.9,-2.1,0,0,0,0,3,24,12.5,27,2,70.4,43.9,5,100.0,63.4,7,0,0.0,0,16.5,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Wolves,1,1,0,100.0,0,1.0,0.0,1,1,0,0,2,19,10.5,22,4,68.2,45.9,5,80.0,53.8,13,2,15.4,2,14.5,Match Report
