,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Home,W,3,1,Aston Villa,651,603,47,7,3,2,38,22,14,7,5,0,556,1,14,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Away,D,2,2,Manchester City,539,489,49,16,0,2,5,17,2,2,0,0,449,1,12,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,828,783,44,9,2,6,36,23,6,3,0,1,724,1,13,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Away,D,2,2,Arsenal,415,364,50,14,4,0,11,12,6,3,1,0,324,1,6,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,4,0,Crystal Palace,690,652,37,10,1,4,18,22,4,2,2,0,598,1,3,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Away,L,1,2,Leicester City,540,481,56,19,1,3,22,21,2,1,1,0,422,3,12,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,1,Southampton,404,352,51,17,1,2,9,18,6,2,2,0,310,1,7,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Away,L,0,3,Brighton,596,541,54,11,1,5,15,27,4,3,0,0,480,1,11,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Watford,762,701,56,9,1,4,40,30,11,7,2,0,629,5,6,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,L,1,2,Liverpool,341,292,45,8,2,0,11,23,3,0,3,0,224,4,9,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Away,D,1,1,Everton,490,431,57,9,3,3,7,33,2,0,1,0,384,2,8,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,649,590,58,15,4,5,16,27,4,2,1,0,538,1,4,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Away,W,3,2,West Ham,503,454,43,14,0,1,13,12,7,3,2,0,396,6,12,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,3,2,Bournemouth,542,503,38,12,3,7,15,9,4,2,1,0,425,1,3,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Manchester Utd,552,502,49,9,2,1,24,28,3,2,1,0,422,1,12,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,W,5,0,Burnley,500,466,33,10,5,4,7,14,1,1,0,0,384,1,4,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,W,2,1,Wolves,406,363,42,14,2,3,10,17,2,0,1,0,287,1,4,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Home,L,0,2,Chelsea,504,452,52,12,0,4,16,27,3,1,2,0,386,0,12,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Home,W,2,1,Brighton,539,486,48,7,1,1,16,21,9,3,2,0,416,5,15,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,D,2,2,Norwich City,606,555,48,13,2,3,21,22,6,3,1,0,476,3,14,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,L,0,1,Southampton,558,488,67,20,6,3,24,31,9,4,4,0,401,3,8,Match Report
21,2020-01-11,17:30 (19:30),Matchweek 22,Sat,Home,L,0,1,Liverpool,417,379,36,10,5,3,10,13,4,2,2,0,322,2,2,Match Report
22,2020-01-18,12:30 (14:30),Matchweek 23,Sat,Away,D,0,0,Watford,538,487,48,15,1,1,13,17,3,3,0,0,435,3,5,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,2,1,Norwich City,526,474,51,6,3,4,17,25,7,6,0,0,415,1,14,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Home,W,2,0,Manchester City,370,333,35,14,1,1,6,11,2,1,0,0,275,2,6,Match Report
25,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-16,14:00 (16:00),Matchweek 26,Sun,Away,W,3,2,Aston Villa,425,379,45,10,7,1,15,19,7,4,3,0,315,1,12,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Away,L,1,2,Chelsea,621,560,61,14,2,1,14,30,5,3,2,0,500,0,16,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,L,2,3,Wolves,668,614,54,14,1,3,22,23,4,1,1,0,556,0,7,Match Report
