,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Away,D,0,0,Leicester City,230,331,69.5,4109,1995,117,138,84.8,60,87,69.0,37,67,55.2,0,0.7,0.4,8,12,2,0,12,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Home,D,1,1,Manchester Utd,279,385,72.5,4756,1774,130,155,83.9,99,128,77.3,32,73,43.8,1,0.2,0.4,5,22,3,1,22,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,D,1,1,Burnley,500,635,78.7,8750,3085,238,266,89.5,179,227,78.9,63,102,61.8,0,0.4,0.7,12,41,8,3,37,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Away,L,2,3,Everton,236,365,64.7,4534,2053,97,121,80.2,87,125,69.6,37,88,42.0,1,1.2,1.0,5,13,5,2,11,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,2,5,Chelsea,387,508,76.2,6755,2382,171,202,84.7,151,185,81.6,45,78,57.7,0,0.4,0.4,6,25,9,3,22,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,D,1,1,Crystal Palace,375,489,76.7,6655,2271,154,177,87.0,163,194,84.0,39,78,50.0,1,1.4,1.2,10,26,8,5,28,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Watford,332,435,76.3,5915,2332,145,166,87.3,131,164,79.9,39,70,55.7,1,1.4,1.0,6,25,4,1,29,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,2,0,Manchester City,164,253,64.8,3067,1460,66,79,83.5,61,83,73.5,28,68,41.2,2,0.9,0.3,5,9,1,0,7,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Southampton,428,558,76.7,7798,2730,181,207,87.4,205,244,84.0,38,83,45.8,0,0.1,0.2,2,20,4,0,32,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Away,D,1,1,Newcastle Utd,481,583,82.5,8994,2598,180,211,85.3,223,246,90.7,62,94,66.0,0,1.6,1.8,12,28,12,4,37,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,D,1,1,Arsenal,348,450,77.3,6494,2672,148,172,86.0,137,167,82.0,51,71,71.8,1,1.4,0.7,16,31,8,2,39,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,2,1,Aston Villa,334,428,78.0,6415,2614,141,162,87.0,131,151,86.8,50,84,59.5,2,0.7,0.4,12,33,8,1,34,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Bournemouth,467,556,84.0,9318,3143,173,191,90.6,211,241,87.6,74,99,74.7,1,0.8,1.3,12,31,6,2,26,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Home,D,1,1,Sheffield Utd,453,575,78.8,8683,2662,177,207,85.5,195,240,81.3,64,94,68.1,1,0.8,1.0,8,23,2,1,25,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,0,West Ham,418,526,79.5,7742,2826,179,208,86.1,168,198,84.8,58,84,69.0,2,1.5,1.0,12,31,6,1,33,Match Report
15,2019-12-08,16:30 (18:30),Matchweek 16,Sun,Away,D,2,2,Brighton,284,393,72.3,5068,2139,132,152,86.8,99,128,77.3,39,74,52.7,2,1.3,1.2,9,15,8,2,17,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,L,1,2,Tottenham,407,550,74.0,7356,2797,172,203,84.7,149,191,78.0,60,109,55.0,1,0.7,0.8,13,41,8,2,29,Match Report
