,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1,Matches
2,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0,Matches
3,4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,6,4,1,5,0,1,4,25.0,3,9,1,8,2,8,10,0,Matches
4,5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,3,Matches
5,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,7,4,0,4,3,1,8,12.5,7,9,1,8,3,10,2,0,Matches
6,7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
7,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,31,21,23,8,0,14,23,60.9,9,40,29,11,36,67,152,0,Matches
8,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,24,17,10,13,1,9,30,30.0,21,19,2,17,10,34,8,0,Matches
9,10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,40,29,24,13,3,11,24,45.8,13,48,32,16,31,71,172,2,Matches
10,11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,55,34,35,17,3,36,78,46.2,42,27,9,18,45,100,84,3,Matches
11,12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,13,3,Matches
12,13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,34,16,11,20,3,13,37,35.1,24,35,3,32,17,51,17,2,Matches
13,14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,60,39,32,20,8,19,52,36.5,33,25,1,24,31,91,25,0,Matches
14,15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,28,16,20,6,2,14,33,42.4,19,18,2,16,20,48,32,0,Matches
15,16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,33,19,20,11,2,17,27,63.0,10,18,3,15,14,47,13,0,Matches
16,17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,18,11,9,8,1,3,11,27.3,8,8,5,3,16,34,55,1,Matches
17,18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,46,32,20,21,5,11,47,23.4,36,19,1,18,22,68,11,0,Matches
18,19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0,Matches
19,20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,5,2,3,1,1,5,7,71.4,2,1,0,1,9,14,15,0,Matches
20,21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
