,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,65,2.33,34,23,4,2,1,1,5,0.18,3,1,1,0,0,0,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,66,1.83,47,2,6,3,4,4,3,0.08,2,0,0,0,1,0,Matches
2,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,56,2.28,37,0,4,10,2,3,9,0.37,4,0,2,2,1,0,Matches
3,4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0,Matches
4,5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0,Matches
6,7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,14,0.50,7,0,1,4,1,1,1,0.04,0,0,0,1,0,0,Matches
8,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,27,2.80,23,2,1,1,0,0,5,0.52,5,0,0,0,0,0,Matches
9,10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,26,0.79,22,0,0,1,0,3,4,0.12,4,0,0,0,0,0,Matches
10,11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,156,4.42,93,51,3,6,1,2,24,0.68,15,7,0,2,0,0,Matches
11,12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,Matches
12,13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,58,2.82,42,1,7,3,3,2,11,0.54,5,0,4,2,0,0,Matches
13,14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,85,2.53,56,0,10,6,7,6,3,0.09,2,0,0,0,1,0,Matches
14,15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,50,3.15,37,5,1,3,3,1,6,0.38,4,0,0,0,2,0,Matches
15,16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,39,2.95,29,0,6,2,1,1,2,0.15,1,0,0,0,1,0,Matches
16,17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,2,0.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,68,4.09,51,2,5,5,4,1,11,0.66,9,0,2,0,0,0,Matches
18,19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,15,3.19,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,22,Michail Antonio,jm JAM,"FW,MF",West Ham,29,1990,19.6,71,3.61,35,1,15,11,7,2,9,0.46,4,0,1,3,1,0,Matches
22,23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,60,3.15,43,0,6,5,5,1,8,0.42,4,0,1,2,0,1,Matches
23,24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,25,Christian Atsu,gh GHA,MF,Newcastle Utd,27,1992,8.3,25,3.00,19,3,2,0,1,0,4,0.48,3,1,0,0,0,0,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
26,26,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,30,1989,34.8,69,1.98,48,0,6,7,6,2,12,0.34,8,0,0,2,1,1,Matches
27,27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,30.0,49,1.63,43,1,2,0,1,2,7,0.23,6,0,0,0,0,1,Matches
28,28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,35.0,81,2.32,49,0,13,3,13,3,7,0.20,3,0,2,1,1,0,Matches
29,29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,87,2.42,76,2,2,3,1,3,8,0.22,5,1,0,1,0,1,Matches
30,30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,31,Leighton Baines,eng ENG,DF,Everton,34,1984,4.5,15,3.34,9,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
32,32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,13.1,9,0.69,5,0,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
33,33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38.0,70,1.84,53,5,6,0,6,0,6,0.16,4,0,1,0,1,0,Matches
34,34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21.0,22,1.05,14,4,0,1,0,3,2,0.10,0,1,0,0,0,1,Matches
35,35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,52,4.24,35,1,6,5,3,2,6,0.49,5,0,0,1,0,0,Matches
36,36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,15.0,24,1.60,16,0,1,2,5,0,3,0.20,2,0,0,0,1,0,Matches
37,37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,23.1,87,3.76,66,0,11,6,4,0,16,0.69,11,0,4,1,0,0,Matches
38,38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,30,0.83,24,1,2,0,0,3,3,0.08,3,0,0,0,0,0,Matches
39,39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,7,2.64,5,0,1,1,0,0,2,0.75,1,0,0,1,0,0,Matches
41,41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34.0,19,0.56,15,0,0,2,1,1,1,0.03,0,0,0,1,0,0,Matches
42,42,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,12.9,15,1.17,13,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
43,43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,8,1.19,6,2,0,0,0,0,1,0.15,0,1,0,0,0,0,Matches
