,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Away,W,1,0,Newcastle Utd,15,10,2,0,1,1,1,2,1,0,0,0,0,1,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Home,W,2,1,Burnley,28,21,2,1,2,0,2,3,0,1,0,1,0,1,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Away,L,1,3,Liverpool,13,10,1,2,0,0,0,0,0,0,0,0,0,0,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Home,D,2,2,Tottenham,45,31,3,3,4,3,1,4,3,0,1,0,0,0,Match Report
4,2019-09-15,16:30 (17:30),Matchweek 5,Sun,Away,D,2,2,Watford,14,10,0,1,0,0,3,3,3,0,0,0,0,0,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,W,3,2,Aston Villa,34,20,4,2,4,3,1,4,1,0,0,0,2,1,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Away,D,1,1,Manchester Utd,16,12,0,2,1,1,0,1,1,0,0,0,0,0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,W,1,0,Bournemouth,20,15,3,1,0,0,1,2,1,1,0,0,0,0,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Away,L,0,1,Sheffield Utd,16,13,1,0,1,1,0,0,0,0,0,0,0,0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,D,2,2,Crystal Palace,28,18,6,1,1,2,0,3,1,1,0,1,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,D,1,1,Wolves,17,13,2,0,1,1,0,0,0,0,0,0,0,0,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Away,L,0,2,Leicester City,14,9,0,2,2,0,1,0,0,0,0,0,0,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,D,2,2,Southampton,22,13,4,0,3,2,0,3,2,0,0,1,0,0,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Away,D,2,2,Norwich City,27,17,4,1,4,1,0,2,0,0,0,1,1,0,Match Report
