,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Away,W,1,0,Newcastle Utd,3,0,0,7,11,3,10,6,6,0,0,0,58,14,21,40.0,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Home,W,2,1,Burnley,2,0,0,13,9,5,17,9,7,0,0,0,42,20,20,50.0,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Away,L,1,3,Liverpool,1,0,0,5,7,4,13,7,7,0,1,0,52,11,7,61.1,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Home,D,2,2,Tottenham,3,0,0,13,18,3,25,11,12,0,1,0,58,16,13,55.2,Match Report
4,2019-09-15,16:30 (17:30),Matchweek 5,Sun,Away,D,2,2,Watford,3,0,0,4,12,0,3,11,10,0,1,0,39,4,8,33.3,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,W,3,2,Aston Villa,7,1,1,13,14,2,20,8,6,1,0,0,43,8,5,61.5,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Away,D,1,1,Manchester Utd,2,0,0,13,17,4,20,8,11,0,0,0,49,10,10,50.0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,W,1,0,Bournemouth,1,0,0,12,6,0,24,8,13,0,0,0,56,14,26,35.0,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Away,L,0,1,Sheffield Utd,4,0,0,12,8,1,30,5,6,0,0,0,53,14,27,34.1,Match Report
