,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Away,L,1,3,Tottenham,30,419,104,219,150,55,8,419,4,8,50.0,13,13,212,9,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Bournemouth,63,649,51,203,269,181,25,649,9,10,90.0,14,14,437,37,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Home,W,2,0,Everton,36,461,75,197,174,98,16,461,11,17,64.7,21,10,229,18,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,1,Crystal Palace,48,545,95,207,217,124,11,545,11,12,91.7,9,17,336,23,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Home,D,0,0,West Ham,46,567,57,181,246,149,17,567,11,19,57.9,12,13,350,24,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,L,2,3,Arsenal,42,481,75,178,184,129,17,481,15,21,71.4,8,6,278,31,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,Burnley,60,576,39,171,240,171,14,576,8,16,50.0,14,5,348,28,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,W,5,1,Norwich City,43,534,90,205,188,144,23,533,4,14,28.6,9,10,289,29,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Brighton,49,606,65,147,225,246,40,606,20,25,80.0,11,6,395,29,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Away,L,0,3,Manchester City,37,497,109,238,158,106,16,497,10,16,62.5,8,7,290,18,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Liverpool,27,414,106,217,114,86,11,414,5,14,35.7,23,8,150,12,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,2,Wolves,50,543,68,197,241,118,10,543,17,24,70.8,16,7,322,18,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,61,645,53,170,276,205,32,645,8,16,50.0,13,7,447,37,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,D,2,2,Manchester Utd,38,462,81,173,180,114,16,462,10,14,71.4,16,2,235,21,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Chelsea,36,555,82,193,233,133,14,555,10,18,55.6,24,5,299,21,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,4,Leicester City,41,480,75,144,159,182,39,480,11,20,55.0,18,8,260,30,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,44,563,91,237,232,96,8,562,3,4,75.0,15,11,305,19,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,3,Southampton,56,612,61,190,256,174,29,612,13,20,65.0,23,9,374,30,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Norwich City,43,510,60,166,199,151,20,510,9,10,90.0,17,6,296,19,Match Report
