,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,W,3,0,Watford,1,0,0,11,14,3,12,11,14,0,0,0,56,18,14,56.3,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,D,1,1,West Ham,0,0,0,11,10,2,25,12,9,0,0,0,60,31,14,68.9,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,0,2,Southampton,1,1,0,9,10,1,18,15,10,0,0,0,62,24,14,63.2,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,4,Manchester City,1,0,0,6,9,3,10,8,8,0,0,0,46,6,6,50.0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,D,1,1,Burnley,0,0,0,13,7,2,16,12,13,0,0,0,61,26,24,52.0,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,1,0,0,8,12,3,17,11,7,0,0,0,48,18,19,48.6,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Chelsea,3,0,0,13,5,2,13,14,12,0,1,0,55,9,10,47.4,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Home,W,3,0,Tottenham,2,0,0,11,7,1,16,14,12,0,0,0,66,13,10,56.5,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Aston Villa,4,1,1,17,9,0,17,10,8,0,0,0,52,16,8,66.7,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,W,3,2,Everton,2,0,0,12,12,3,8,17,10,1,0,1,57,8,11,42.1,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,0,Norwich City,0,0,0,11,8,3,19,13,13,0,0,0,65,14,6,70.0,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,3,Manchester Utd,5,0,0,14,10,4,14,10,15,0,0,0,56,14,11,56.0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Leicester City,2,0,0,9,1,2,24,7,7,0,1,0,48,9,11,45.0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,1,2,Liverpool,0,0,0,10,2,6,20,14,7,0,0,0,58,12,8,60.0,Match Report
14,2019-12-05,20:15 (22:15),Matchweek 15,Thu,Away,W,2,1,Arsenal,1,0,0,11,9,0,21,6,7,0,0,0,55,21,11,65.6,Match Report
15,2019-12-08,16:30 (18:30),Matchweek 16,Sun,Home,D,2,2,Wolves,3,0,0,10,7,1,15,9,7,0,0,0,59,17,19,47.2,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Away,D,1,1,Crystal Palace,1,0,0,12,6,1,33,9,11,0,0,0,54,10,26,27.8,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Sheffield Utd,1,0,0,6,9,2,23,5,8,0,0,0,58,28,29,49.1,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Away,L,1,2,Tottenham,2,0,0,9,10,0,17,14,13,0,0,0,62,21,9,70.0,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Home,W,2,0,Bournemouth,0,0,0,9,10,3,24,15,15,0,0,0,53,23,21,52.3,Match Report
