,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,W,3,0,Southampton,0,0,0,6,11,5,14,14,12,0,0,0,51,22,22,50.0,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,1,0,0,11,11,1,30,6,11,0,0,0,44,20,20,50.0,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,D,1,1,Wolves,2,0,0,11,9,1,19,11,7,0,1,0,48,24,41,36.9,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Home,L,0,3,Liverpool,0,0,0,10,15,5,13,11,10,0,0,1,57,21,23,47.7,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,D,1,1,Brighton,2,0,0,7,13,2,18,11,13,0,0,0,40,24,26,48.0,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,2,0,Norwich City,0,0,0,11,9,2,25,10,10,0,0,0,58,13,13,50.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Aston Villa,4,0,0,16,10,0,12,9,7,0,0,0,42,20,18,52.6,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,1,0,Everton,2,0,0,5,12,5,18,18,10,0,0,0,56,28,32,46.7,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Leicester City,3,0,0,10,4,3,19,13,12,0,0,0,41,24,22,52.2,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Home,L,2,4,Chelsea,3,0,0,7,7,1,19,13,9,0,0,0,77,19,16,54.3,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,2,0,0,12,8,0,23,4,4,0,0,0,55,29,32,47.5,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,3,0,West Ham,2,0,0,17,10,7,24,8,2,0,0,0,59,34,23,59.6,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,3,0,Watford,3,0,0,13,14,2,16,12,4,1,0,0,44,23,30,43.4,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,2,Crystal Palace,2,0,0,13,8,1,26,16,15,0,0,0,62,33,29,53.2,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Home,L,1,4,Manchester City,1,0,0,9,6,0,9,13,8,0,0,0,36,21,12,63.6,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,L,0,5,Tottenham,1,0,0,8,12,2,18,7,7,0,0,0,53,26,23,53.1,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,0,0,0,15,11,3,12,13,11,0,0,0,46,31,21,59.6,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,1,0,Bournemouth,4,0,0,21,13,0,19,7,7,0,0,0,38,22,23,48.9,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,0,1,Everton,0,0,0,14,14,1,8,9,13,0,0,0,40,35,30,53.8,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Home,L,0,2,Manchester Utd,4,0,0,17,8,5,24,6,9,0,0,0,52,21,18,53.8,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Home,L,1,2,Aston Villa,1,0,0,12,9,2,45,5,2,0,0,0,50,34,30,53.1,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,3,Chelsea,3,0,0,4,7,6,10,9,6,0,1,0,38,19,14,57.6,Match Report
22,2020-01-19,14:00 (16:00),Matchweek 23,Sun,Home,W,2,1,Leicester City,1,0,0,14,7,1,19,12,11,0,1,0,57,32,27,54.2,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Away,W,2,0,Manchester Utd,2,0,0,7,11,2,11,15,8,0,0,0,52,23,34,40.4,Match Report
