,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,34,26,3,1,2,1,1,0,0,0,0,0,0,0,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,29,24,1,0,0,1,3,0,0,0,0,0,0,0,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,45,36,1,4,2,0,2,6,6,0,0,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,25,18,1,3,1,2,0,3,2,0,0,1,0,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,28,17,4,5,0,2,0,9,6,0,3,0,0,0,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,25,21,2,0,2,0,0,2,2,0,0,0,0,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,39,32,1,0,4,1,1,3,2,0,0,0,1,0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,23,17,2,1,1,0,2,8,6,0,1,0,0,1,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,32,20,4,2,2,2,2,2,2,0,0,0,0,0,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,29,22,2,1,1,2,1,6,4,0,1,0,0,1,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,27,21,1,3,1,1,0,4,4,0,0,0,0,0,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,42,31,1,4,2,3,1,3,2,0,0,1,0,0,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Away,L,1,2,Manchester City,22,19,0,0,1,1,1,2,2,0,0,0,0,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,1,West Ham,33,25,4,2,1,1,0,0,0,0,0,0,0,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Aston Villa,46,36,1,5,2,1,1,4,4,0,0,0,0,0,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Away,L,1,3,Everton,28,20,3,1,1,2,1,3,2,0,0,0,0,1,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,L,0,1,Bournemouth,24,15,3,0,5,1,0,0,0,0,0,0,0,0,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Away,W,2,0,Tottenham,24,20,1,1,0,2,0,4,2,1,0,0,1,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,L,0,2,Southampton,20,15,4,0,0,1,0,0,0,0,0,0,0,0,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Away,W,2,1,Arsenal,25,14,5,0,2,3,1,4,2,1,0,0,1,0,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,D,1,1,Brighton,27,20,2,2,2,1,0,1,0,0,0,1,0,0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,3,0,Burnley,34,28,2,0,2,2,0,6,5,0,0,0,1,0,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,37,34,1,0,0,1,1,0,0,0,0,0,0,0,Match Report
23,2020-01-21,20:15 (22:15),Matchweek 24,Tue,Home,D,2,2,Arsenal,33,26,4,1,0,2,0,4,1,1,1,0,1,0,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Away,D,2,2,Leicester City,13,9,2,0,0,2,0,3,0,2,0,0,1,0,Match Report
25,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Home,L,0,2,Manchester Utd,30,26,0,0,3,1,0,0,0,0,0,0,0,0,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Home,W,2,1,Tottenham,28,16,2,4,4,2,0,3,2,0,0,1,0,0,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,2,2,Bournemouth,41,33,3,1,4,0,0,2,0,0,0,2,0,0,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Home,W,4,0,Everton,30,20,4,4,1,1,0,8,7,0,1,0,0,0,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Away,W,2,1,Aston Villa,33,28,2,0,2,0,1,4,4,0,0,0,0,0,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Home,W,2,1,Manchester City,20,10,2,3,5,0,0,2,0,0,1,1,0,0,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Away,L,2,3,West Ham,32,24,3,1,0,3,1,4,2,0,0,0,2,0,Match Report
34,2020-07-04,20:00 (21:00),Matchweek 33,Sat,Home,W,3,0,Watford,36,25,1,1,4,5,0,6,5,0,0,0,1,0,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Away,W,3,2,Crystal Palace,25,19,3,2,1,0,0,6,6,0,0,0,0,0,Match Report
36,2020-07-11,17:30 (18:30),Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,27,20,2,1,2,2,0,0,0,0,0,0,0,0,Match Report
37,2020-07-14,20:15 (21:15),Matchweek 36,Tue,Home,W,1,0,Norwich City,40,32,4,0,2,1,1,2,2,0,0,0,0,0,Match Report
