,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,4,0,0,13,15,0,19,15,9,0,1,0,59,9,13,40.9,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,1,0,0,9,14,3,20,10,14,0,0,0,66,23,13,63.9,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,1,0,0,9,8,0,18,11,18,0,0,0,63,17,11,60.7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,0,0,0,6,11,2,14,14,7,0,0,1,52,19,23,45.2,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,2,0,0,11,8,1,14,17,14,0,0,1,58,22,17,56.4,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,3,0,0,8,13,7,26,15,8,0,0,0,62,20,18,52.6,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,2,0,0,5,11,1,12,13,9,1,0,0,53,10,9,52.6,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,1,0,0,15,7,0,9,14,12,0,0,0,71,22,15,59.5,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,2,0,0,9,12,1,27,8,12,0,0,0,50,22,17,56.4,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,2,0,0,8,7,0,16,11,5,0,0,0,60,16,19,45.7,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,2,0,0,5,8,0,13,13,8,0,1,0,63,12,11,52.2,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,3,0,0,9,17,0,22,10,9,0,0,0,50,19,16,54.3,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Away,L,1,2,Manchester City,1,0,0,9,5,4,13,17,11,0,0,0,45,7,12,36.8,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,1,West Ham,0,0,0,0,15,3,39,19,5,0,0,0,57,21,25,45.7,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Aston Villa,2,0,0,18,9,0,26,6,8,0,0,0,62,16,20,44.4,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Away,L,1,3,Everton,0,0,0,9,14,3,24,10,8,0,0,0,56,25,25,50.0,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,L,0,1,Bournemouth,1,0,0,9,14,3,42,15,7,0,0,0,60,31,25,55.4,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Away,W,2,0,Tottenham,3,0,0,11,8,2,19,13,9,1,0,0,55,17,17,50.0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,L,0,2,Southampton,3,0,0,10,9,1,33,11,13,0,0,0,77,34,27,55.7,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Away,W,2,1,Arsenal,4,0,0,19,13,1,23,16,10,0,0,0,55,15,16,48.4,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,D,1,1,Brighton,3,0,0,15,8,3,14,19,14,0,0,0,66,18,23,43.9,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,3,0,Burnley,0,0,0,7,4,6,27,9,8,1,0,0,47,14,19,42.4,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,1,0,0,14,9,2,34,18,10,0,0,0,56,20,28,41.7,Match Report
23,2020-01-21,20:15 (22:15),Matchweek 24,Tue,Home,D,2,2,Arsenal,2,0,0,11,6,2,35,10,10,1,0,0,48,21,13,61.8,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Away,D,2,2,Leicester City,2,0,0,14,14,1,14,9,8,0,0,0,68,17,17,50.0,Match Report
25,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Home,L,0,2,Manchester Utd,4,0,0,11,11,2,23,7,9,0,0,0,65,15,14,51.7,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Home,W,2,1,Tottenham,1,0,0,14,13,1,11,15,15,0,0,1,68,15,20,42.9,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,2,2,Bournemouth,2,0,0,5,8,2,44,11,9,0,0,0,63,23,19,54.8,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Home,W,4,0,Everton,1,0,0,8,8,0,15,7,7,0,0,0,48,16,19,45.7,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Away,W,2,1,Aston Villa,1,0,0,17,9,0,37,8,4,0,0,0,47,26,25,51.0,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Home,W,2,1,Manchester City,1,0,0,13,2,3,11,8,6,0,0,0,40,11,5,68.8,Match Report
