,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,469,567,82.7,7421,2164,223,250,89.2,187,213,87.8,35,60,58.3,0,0.8,0.7,15,32,6,1,29,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,388,507,76.5,6257,2288,190,220,86.4,127,163,77.9,40,66,60.6,0,0.9,0.9,11,29,8,4,23,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,488,593,82.3,7906,2307,240,262,91.6,194,225,86.2,37,62,59.7,3,1.3,1.2,20,34,14,4,34,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,654,761,85.9,10976,3094,318,350,90.9,264,289,91.3,57,94,60.6,0,1.5,1.0,9,29,2,2,17,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,505,602,83.9,8441,2913,235,261,90.0,200,229,87.3,49,75,65.3,3,2.1,1.3,11,22,7,0,32,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,437,564,77.5,7525,2725,209,242,86.4,156,190,82.1,53,91,58.2,1,1.2,0.8,11,32,10,5,26,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,509,602,84.6,8235,2703,228,260,87.7,221,250,88.4,33,58,56.9,1,2.3,1.5,17,29,11,2,37,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,428,573,74.7,7376,2610,187,229,81.7,187,222,84.2,38,82,46.3,4,1.6,0.4,11,30,10,0,27,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,587,697,84.2,9963,2565,265,294,90.1,241,276,87.3,55,83,66.3,1,1.3,1.3,12,52,12,1,32,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,616,734,83.9,9582,3020,333,368,90.5,214,253,84.6,45,71,63.4,3,0.6,0.5,12,32,12,3,28,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,733,827,88.6,11376,3143,381,399,95.5,267,304,87.8,50,70,71.4,2,1.6,1.3,12,32,8,0,24,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,526,620,84.8,8885,2667,254,279,91.0,200,231,86.6,49,73,67.1,1,2.3,0.9,15,37,11,2,44,Match Report
