,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,54,687,50,166,331,196,15,687,13,24,54.2,19,5,468,29,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,50,635,71,213,274,155,18,635,10,19,52.6,18,20,383,23,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,54,716,45,165,339,222,30,716,21,24,87.5,19,13,480,33,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,62,854,64,302,415,142,17,854,16,21,76.2,11,10,650,16,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,54,741,79,262,356,132,23,741,15,20,75.0,20,12,499,32,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,55,684,65,236,274,179,17,684,7,9,77.8,21,9,431,25,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,53,721,62,213,321,192,30,720,6,15,40.0,15,12,507,37,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,57,677,57,230,326,127,20,677,3,15,20.0,9,11,419,25,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,71,812,34,165,422,231,33,812,14,18,77.8,19,8,585,32,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,63,850,78,281,414,159,24,850,8,12,66.7,15,12,613,28,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,67,952,80,295,484,184,24,952,14,20,70.0,15,10,730,24,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,60,730,43,175,339,221,27,730,13,19,68.4,20,13,523,43,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Away,L,1,2,Manchester City,53,781,111,321,346,121,20,781,16,22,72.7,11,9,590,27,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,1,West Ham,66,863,42,209,407,257,29,863,27,41,65.9,13,12,622,45,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Aston Villa,64,822,58,198,400,234,44,822,16,28,57.1,15,10,590,42,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Away,L,1,3,Everton,69,778,58,245,352,190,35,778,24,36,66.7,18,24,541,52,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,L,0,1,Bournemouth,66,784,74,198,368,223,33,784,5,8,62.5,16,4,516,37,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Away,W,2,0,Tottenham,55,722,48,208,324,193,23,721,14,23,60.9,13,10,492,30,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,L,0,2,Southampton,66,886,54,220,405,268,27,886,16,29,55.2,24,19,585,42,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Away,W,2,1,Arsenal,58,721,53,178,380,173,24,721,15,20,75.0,9,11,515,31,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,D,1,1,Brighton,52,718,75,267,343,116,36,718,11,18,61.1,15,13,456,25,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,3,0,Burnley,65,724,51,199,328,200,36,723,6,13,46.2,11,6,510,36,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,69,822,28,102,392,337,37,822,7,11,63.6,19,9,587,40,Match Report
23,2020-01-21,20:15 (22:15),Matchweek 24,Tue,Home,D,2,2,Arsenal,58,722,43,148,312,264,47,721,11,25,44.0,14,7,507,38,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Away,D,2,2,Leicester City,51,646,61,208,309,137,19,646,16,23,69.6,24,18,410,22,Match Report
25,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Home,L,0,2,Manchester Utd,61,757,64,220,360,186,32,757,10,15,66.7,20,7,545,21,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Home,W,2,1,Tottenham,49,723,52,181,405,142,19,723,12,17,70.6,13,19,479,29,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,2,2,Bournemouth,73,988,52,223,470,300,42,988,11,12,91.7,10,7,740,39,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Home,W,4,0,Everton,60,775,68,265,366,152,23,775,20,27,74.1,20,8,590,41,Match Report
