,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,0,0,Everton,179,318,56.3,3220,1721,78,116,67.2,76,109,69.7,16,62,25.8,0,0.9,0.6,5,13,5,0,16,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,430,550,78.2,7966,2792,170,200,85.0,206,234,88.0,47,89,52.8,0,0.2,0.6,4,37,5,0,34,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Manchester Utd,151,253,59.7,2763,1538,74,105,70.5,47,69,68.1,21,58,36.2,1,0.3,0.1,2,8,2,0,12,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,1,0,Aston Villa,375,463,81.0,6729,2737,159,176,90.3,170,196,86.7,36,68,52.9,0,1.2,1.0,16,36,16,1,40,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,4,Tottenham,297,389,76.3,5469,2618,123,149,82.6,126,143,88.1,37,65,56.9,0,0.5,0.7,9,22,2,1,24,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,D,1,1,Wolves,391,501,78.0,6546,2545,193,223,86.5,152,183,83.1,34,66,51.5,0,0.7,0.6,7,30,5,1,29,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Norwich City,361,463,78.0,6192,2370,180,200,90.0,131,155,84.5,37,77,48.1,1,0.7,0.9,12,42,12,2,36,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Away,W,2,1,West Ham,416,522,79.7,7332,2525,191,215,88.8,177,201,88.1,40,78,51.3,1,1.3,1.5,5,32,8,1,23,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Home,L,0,2,Manchester City,220,303,72.6,4081,1498,99,112,88.4,84,100,84.0,28,68,41.2,0,0.4,0.6,5,21,3,0,12,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,D,2,2,Arsenal,289,386,74.9,5693,2659,132,155,85.2,113,137,82.5,43,81,53.1,1,0.7,0.5,8,23,4,3,22,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Home,L,0,2,Leicester City,298,393,75.8,4870,2195,151,175,86.3,113,129,87.6,24,60,40.0,0,0.3,0.3,5,19,3,0,29,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Away,L,0,2,Chelsea,307,405,75.8,5502,2268,132,165,80.0,132,158,83.5,31,61,50.8,0,0.2,0.3,3,16,1,0,25,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Liverpool,279,384,72.7,5240,2259,137,160,85.6,97,127,76.4,41,79,51.9,1,0.9,0.8,12,15,13,5,20,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,2,0,Burnley,382,517,73.9,6046,2489,203,237,85.7,136,169,80.5,31,83,37.3,1,0.5,0.5,4,18,7,1,30,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Home,W,1,0,Bournemouth,205,296,69.3,3568,1553,117,129,90.7,64,85,75.3,23,72,31.9,1,0.3,0.4,5,21,4,0,14,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,D,0,0,Watford,311,431,72.2,5455,2104,142,172,82.6,136,171,79.5,27,68,39.7,0,0.1,0.1,2,19,1,0,24,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Home,D,1,1,Brighton,261,361,72.3,4415,2316,144,177,81.4,71,86,82.6,33,70,47.1,1,0.5,0.5,8,24,12,4,23,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,457,554,82.5,8010,3378,235,271,86.7,162,183,88.5,52,73,71.2,0,1.1,1.1,13,31,12,1,38,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,2,1,West Ham,491,601,81.7,8275,2971,232,256,90.6,200,232,86.2,41,76,53.9,2,1.6,1.2,8,30,10,0,39,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,D,1,1,Southampton,261,368,70.9,4223,1663,138,156,88.5,93,131,71.0,21,55,38.2,1,0.2,0.2,3,19,2,0,10,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,D,1,1,Norwich City,462,587,78.7,7884,2676,224,258,86.8,179,209,85.6,43,75,57.3,1,1.3,0.7,9,46,7,2,25,Match Report
21,2020-01-11,12:30 (14:30),Matchweek 22,Sat,Home,D,1,1,Arsenal,277,401,69.1,4646,1738,140,168,83.3,92,126,73.0,32,78,41.0,1,0.5,0.7,3,20,5,2,18,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,2,2,Manchester City,183,288,63.5,3713,1850,71,92,77.2,71,88,80.7,32,80,40.0,1,0.3,0.3,4,14,1,0,13,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,2,Southampton,271,420,64.5,4995,2368,120,153,78.4,102,145,70.3,40,84,47.6,0,0.5,0.6,5,18,6,1,25,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,L,0,1,Sheffield Utd,455,580,78.4,7760,2829,199,235,84.7,184,210,87.6,52,97,53.6,0,0.7,0.6,11,30,7,1,29,Match Report
25,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Away,L,1,3,Everton,354,478,74.1,5929,2435,188,217,86.6,125,157,79.6,35,70,50.0,1,0.4,0.4,6,25,11,1,29,Match Report
