,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,0,0,Crystal Palace,15,12,1,0,2,0,0,0,0,0,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,1,0,Watford,20,8,4,4,1,3,0,1,1,0,0,0,0,0,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Away,L,0,2,Aston Villa,23,19,3,0,1,0,0,0,0,0,0,0,0,0,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Home,W,3,2,Wolves,26,12,6,2,3,2,1,4,4,0,0,0,0,0,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Away,L,1,3,Bournemouth,22,18,0,1,3,0,0,2,2,0,0,0,0,0,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,30,23,1,1,1,2,2,1,0,0,0,0,0,1,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Home,L,1,3,Manchester City,20,8,5,1,2,4,0,1,0,0,0,1,0,0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,0,1,Burnley,19,13,2,1,1,1,1,0,0,0,0,0,0,0,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Home,W,2,0,West Ham,35,20,6,2,3,3,1,4,2,0,2,0,0,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,L,2,3,Brighton,18,13,2,1,1,1,0,2,2,0,0,0,0,0,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Home,D,1,1,Tottenham,13,11,1,1,0,0,0,2,2,0,0,0,0,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,W,2,1,Southampton,39,24,7,2,5,1,0,3,2,0,0,1,0,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Norwich City,35,24,4,1,4,2,0,0,0,0,0,0,0,0,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,L,1,2,Leicester City,22,10,4,5,2,1,0,2,2,0,0,0,0,0,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Away,L,2,5,Liverpool,20,14,2,0,1,2,1,3,2,0,0,1,0,0,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Home,W,3,1,Chelsea,21,12,2,2,1,1,3,5,4,0,0,0,0,1,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,D,1,1,Manchester Utd,13,7,1,1,1,2,1,0,0,0,0,0,0,0,Match Report
17,2019-12-21,12:30 (14:30),Matchweek 18,Sat,Home,D,0,0,Arsenal,11,9,0,1,0,1,0,0,0,0,0,0,0,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Burnley,38,25,5,0,3,4,1,2,2,0,0,0,0,0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,36,25,1,1,8,1,0,3,2,0,0,1,0,0,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,1,2,Manchester City,11,6,3,0,1,0,1,2,0,0,0,1,0,1,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,1,0,Brighton,27,22,1,3,1,0,0,2,1,0,1,0,0,0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,West Ham,18,13,3,0,1,1,0,2,1,1,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,31,26,0,1,1,1,2,4,4,0,0,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,3,2,Watford,20,13,2,0,2,2,1,4,1,1,0,2,0,0,Match Report
25,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Home,W,3,1,Crystal Palace,21,11,2,3,2,2,1,4,2,0,1,1,0,0,Match Report
28,2020-02-23,16:30 (18:30),Matchweek 27,Sun,Away,L,2,3,Arsenal,24,12,2,2,4,2,2,2,0,0,0,1,1,0,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,D,1,1,Manchester Utd,22,11,2,3,4,2,0,0,0,0,0,0,0,0,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Away,L,0,4,Chelsea,5,2,1,0,0,1,1,0,0,0,0,0,0,0,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Home,D,0,0,Liverpool,12,8,2,1,1,0,0,0,0,0,0,0,0,0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,W,1,0,Norwich City,21,14,3,0,2,1,1,2,1,1,0,0,0,0,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,W,2,1,Leicester City,12,9,1,0,1,1,0,3,2,0,0,0,1,0,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Away,L,0,1,Tottenham,19,10,2,2,1,3,1,0,0,0,0,0,0,0,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,1,1,Southampton,17,8,2,1,4,2,0,2,2,0,0,0,0,0,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Away,L,0,3,Wolves,12,12,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,D,1,1,Aston Villa,19,15,1,1,0,1,1,2,2,0,0,0,0,0,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,W,1,0,Sheffield Utd,10,8,1,0,0,1,0,2,0,1,0,0,1,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Bournemouth,25,20,1,3,1,0,0,2,2,0,0,0,0,0,Match Report
40,,,,,,13-10-15,44,56,,802,527,86,47,69,51,22,68,45,4,4,9,3,3,
