,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,0,0,Crystal Palace,2,0,2,100.0,1,0.8,+0.8,0,0,0,0,4,14,28.6,31,2,38.7,33.9,5,40.0,41.8,11,0,0.0,1,22.0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,1,0,Watford,2,0,2,100.0,1,0.7,+0.7,0,0,0,0,7,20,35.0,31,9,48.4,37.2,10,50.0,46.1,18,0,0.0,0,13.0,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Away,L,0,2,Aston Villa,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,4,10,40.0,29,8,34.5,32.6,3,0.0,15.3,4,0,0.0,0,,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Home,W,3,2,Wolves,5,2,3,60.0,0,2.7,+0.7,0,0,0,0,13,24,54.2,36,5,63.9,45.9,2,50.0,27.5,15,2,13.3,1,12.3,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Away,L,1,3,Bournemouth,6,3,3,50.0,0,2.1,-0.9,0,0,0,0,12,25,48.0,35,3,68.6,44.1,3,33.3,25.7,6,0,0.0,2,25.0,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,1,2,0,-100.0,0,0.6,-0.4,0,0,0,0,4,10,40.0,23,3,30.4,36.2,5,60.0,46.8,6,0,0.0,1,28.0,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Home,L,1,3,Manchester City,8,3,5,62.5,0,2.4,-0.6,0,0,0,0,9,20,45.0,27,2,59.3,43.9,11,36.4,42.7,11,0,0.0,1,18.0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,0,1,Burnley,3,1,2,66.7,0,0.3,-0.7,0,0,0,0,6,21,28.6,31,10,45.2,39.3,8,87.5,65.5,13,2,15.4,2,12.3,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Home,W,2,0,West Ham,4,0,4,100.0,1,0.9,+0.9,0,0,0,0,9,18,50.0,23,3,65.2,49.1,7,42.9,36.7,5,0,0.0,1,26.0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,L,2,3,Brighton,4,3,2,50.0,0,1.3,-0.7,1,1,0,0,6,19,31.6,35,7,48.6,42.8,5,40.0,40.6,7,0,0.0,1,17.7,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Home,D,1,1,Tottenham,2,1,1,50.0,0,1.1,+0.1,0,0,0,0,13,21,61.9,31,5,58.1,44.6,5,60.0,50.4,6,0,0.0,0,5.0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,W,2,1,Southampton,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,6,24,25.0,28,1,60.7,47.2,8,87.5,60.4,10,0,0.0,0,18.0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Norwich City,5,2,3,60.0,0,2.3,+0.3,0,0,0,0,8,15,53.3,30,9,43.3,37.5,5,40.0,37.2,13,1,7.7,2,23.5,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,L,1,2,Leicester City,6,2,4,66.7,0,2.3,+0.3,0,0,0,0,7,27,25.9,24,5,79.2,50.8,9,88.9,63.4,20,0,0.0,2,13.0,Match Report
