,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,0,0,Crystal Palace,558,491,67,20,1,5,17,39,2,1,0,0,438,0,15,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,1,0,Watford,354,297,54,11,1,3,11,28,4,4,0,0,235,3,12,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Away,L,0,2,Aston Villa,602,541,60,18,0,7,24,30,6,1,4,0,472,1,12,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Home,W,3,2,Wolves,498,455,42,14,1,6,25,16,7,0,6,0,390,1,6,Match Report
4,2019-09-15,14:00 (15:00),Matchweek 5,Sun,Away,L,1,3,Bournemouth,541,490,51,9,2,5,22,28,7,4,3,0,403,0,9,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,603,536,66,9,1,8,42,37,12,5,6,0,477,1,7,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Home,L,1,3,Manchester City,396,348,46,11,2,4,19,15,5,2,3,0,313,2,11,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,0,1,Burnley,529,478,50,9,0,5,25,22,9,3,3,0,392,1,5,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Home,W,2,0,West Ham,445,381,55,17,3,1,24,19,11,5,6,0,315,9,7,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,L,2,3,Brighton,471,415,54,15,2,8,12,25,5,3,1,0,369,2,10,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Home,D,1,1,Tottenham,435,386,48,10,3,7,28,26,5,2,3,0,317,1,19,Match Report
