,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2020-09-12,12:30 (13:30),Matchweek 1,Sat,Home,L,0,3,Arsenal,8,7,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
1,2020-09-19,15:00 (16:00),Matchweek 2,Sat,Away,L,3,4,Leeds United,22,15,1,2,2,2,0,6,3,0,1,1,1,0,Match Report
2,2020-09-28,17:45 (18:45),Matchweek 3,Mon,Home,L,0,3,Aston Villa,29,23,1,1,2,1,1,0,0,0,0,0,0,0,Match Report
3,2020-10-04,14:00 (15:00),Matchweek 4,Sun,Away,L,0,1,Wolves,18,12,2,2,1,1,0,0,0,0,0,0,0,0,Match Report
4,2020-10-18,12:00 (13:00),Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,26,19,3,3,1,0,0,1,1,0,0,0,0,0,Match Report
5,2020-10-24,15:00 (16:00),Matchweek 6,Sat,Home,L,1,2,Crystal Palace,29,19,5,1,1,3,0,2,2,0,0,0,0,0,Match Report
6,2020-11-02,17:30 (19:30),Matchweek 7,Mon,Home,W,2,0,West Brom,21,16,0,4,1,0,0,4,4,0,0,0,0,0,Match Report
7,2020-11-07,20:00 (22:00),Matchweek 8,Sat,Away,L,0,1,West Ham,23,15,2,1,1,3,1,0,0,0,0,0,0,0,Match Report
8,2020-11-22,12:00 (14:00),Matchweek 9,Sun,Home,L,2,3,Everton,29,26,0,1,0,1,1,4,3,0,1,0,0,0,Match Report
9,2020-11-30,17:30 (19:30),Matchweek 10,Mon,Away,W,2,1,Leicester City,18,12,1,2,0,3,0,4,2,0,1,0,1,0,Match Report
10,2020-12-05,15:00 (17:00),Matchweek 11,Sat,Away,L,0,2,Manchester City,8,3,2,2,1,0,0,0,0,0,0,0,0,0,Match Report
11,2020-12-13,16:30 (18:30),Matchweek 12,Sun,Home,D,1,1,Liverpool,20,13,3,0,2,1,1,2,1,0,0,1,0,0,Match Report
12,2020-12-16,20:00 (22:00),Matchweek 13,Wed,Home,D,0,0,Brighton,12,5,3,1,2,1,0,0,0,0,0,0,0,0,Match Report
13,2020-12-19,20:00 (22:00),Matchweek 14,Sat,Away,D,1,1,Newcastle Utd,21,12,3,1,1,4,0,0,0,0,0,0,0,0,Match Report
14,2020-12-26,15:00 (17:00),Matchweek 15,Sat,Home,D,0,0,Southampton,19,15,1,1,1,1,0,0,0,0,0,0,0,0,Match Report
15,2021-01-13,20:15 (22:15),Matchweek 16,Wed,Away,D,1,1,Tottenham,30,21,2,4,1,1,1,2,2,0,0,0,0,0,Match Report
