,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2020-09-12,12:30 (13:30),Matchweek 1,Sat,Home,L,0,3,Arsenal,2,0,0,12,11,2,15,10,7,0,0,0,46,8,5,61.5,Match Report
1,2020-09-19,15:00 (16:00),Matchweek 2,Sat,Away,L,3,4,Leeds United,2,0,0,18,12,0,18,16,11,1,1,0,70,20,18,52.6,Match Report
2,2020-09-28,17:45 (18:45),Matchweek 3,Mon,Home,L,0,3,Aston Villa,6,0,0,18,14,0,43,7,4,0,0,0,55,19,20,48.7,Match Report
3,2020-10-04,14:00 (15:00),Matchweek 4,Sun,Away,L,0,1,Wolves,1,0,0,8,15,0,28,5,11,0,0,0,44,9,12,42.9,Match Report
4,2020-10-18,12:00 (13:00),Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,2,0,0,9,4,0,16,12,8,0,1,0,50,20,24,45.5,Match Report
5,2020-10-24,15:00 (16:00),Matchweek 6,Sat,Home,L,1,2,Crystal Palace,0,1,0,11,11,1,29,10,7,0,0,0,47,9,5,64.3,Match Report
6,2020-11-02,17:30 (19:30),Matchweek 7,Mon,Home,W,2,0,West Brom,3,0,0,13,10,1,16,10,6,0,0,0,50,15,16,48.4,Match Report
7,2020-11-07,20:00 (22:00),Matchweek 8,Sat,Away,L,0,1,West Ham,2,0,0,9,9,2,19,5,7,1,0,0,35,23,21,52.3,Match Report
8,2020-11-22,12:00 (14:00),Matchweek 9,Sun,Home,L,2,3,Everton,2,0,0,14,8,2,10,10,6,1,0,0,55,12,18,40.0,Match Report
