,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2020-09-12,12:30 (13:30),Matchweek 1,Sat,Home,L,0,3,Arsenal,562,517,43,13,0,2,15,20,2,0,2,0,485,2,4,Match Report
1,2020-09-19,15:00 (16:00),Matchweek 2,Sat,Away,L,3,4,Leeds United,480,439,41,14,0,2,18,16,3,0,3,0,380,0,7,Match Report
2,2020-09-28,17:45 (18:45),Matchweek 3,Mon,Home,L,0,3,Aston Villa,605,551,54,17,0,8,43,21,5,2,3,0,493,0,9,Match Report
3,2020-10-04,14:00 (15:00),Matchweek 4,Sun,Away,L,0,1,Wolves,580,537,43,14,0,11,28,19,2,0,0,1,490,0,5,Match Report
4,2020-10-18,12:00 (13:00),Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,606,567,39,8,0,3,16,20,5,3,2,0,505,0,8,Match Report
5,2020-10-24,15:00 (16:00),Matchweek 6,Sat,Home,L,1,2,Crystal Palace,698,652,45,13,0,5,29,20,4,0,2,1,607,1,10,Match Report
6,2020-11-02,17:30 (19:30),Matchweek 7,Mon,Home,W,2,0,West Brom,455,386,68,15,0,3,16,39,5,1,2,0,331,1,8,Match Report
7,2020-11-07,20:00 (22:00),Matchweek 8,Sat,Away,L,0,1,West Ham,500,453,45,10,0,0,19,17,5,1,1,0,402,2,7,Match Report
8,2020-11-22,12:00 (14:00),Matchweek 9,Sun,Home,L,2,3,Everton,669,623,44,12,1,4,10,26,2,0,0,0,561,2,7,Match Report
9,2020-11-30,17:30 (19:30),Matchweek 10,Mon,Away,W,2,1,Leicester City,342,306,36,7,1,3,8,16,5,1,2,1,238,0,7,Match Report
10,2020-12-05,15:00 (17:00),Matchweek 11,Sat,Away,L,0,2,Manchester City,375,335,39,8,2,2,7,10,3,0,1,1,290,1,4,Match Report
11,2020-12-13,16:30 (18:30),Matchweek 12,Sun,Home,D,1,1,Liverpool,267,224,41,6,1,3,17,19,6,2,4,0,172,2,6,Match Report
12,2020-12-16,20:00 (22:00),Matchweek 13,Wed,Home,D,0,0,Brighton,462,418,43,13,0,3,9,22,1,1,0,0,330,1,10,Match Report
13,2020-12-19,20:00 (22:00),Matchweek 14,Sat,Away,D,1,1,Newcastle Utd,521,476,45,7,0,4,22,18,9,3,6,0,407,0,9,Match Report
14,2020-12-26,15:00 (17:00),Matchweek 15,Sat,Home,D,0,0,Southampton,395,330,64,16,0,3,24,33,6,2,4,0,273,1,5,Match Report
15,2021-01-13,20:15 (22:15),Matchweek 16,Wed,Away,D,1,1,Tottenham,504,467,35,14,0,3,20,8,5,2,1,0,391,2,14,Match Report
16,2021-01-16,17:30 (19:30),Matchweek 19,Sat,Home,L,0,1,Chelsea,369,320,48,12,0,3,11,25,1,0,0,1,264,1,9,Match Report
17,2021-01-20,20:15 (22:15),Matchweek 18,Wed,Home,L,1,2,Manchester Utd,436,387,48,12,2,1,15,17,2,0,2,0,340,1,7,Match Report
18,2021-01-27,19:30 (21:30),Matchweek 20,Wed,Away,D,0,0,Brighton,473,432,41,13,1,0,11,18,0,0,0,0,347,0,19,Match Report
19,2021-01-30,15:00 (17:00),Matchweek 21,Sat,Away,D,2,2,West Brom,616,571,44,10,1,5,18,20,3,3,0,0,482,1,8,Match Report
20,2021-02-03,18:00 (20:00),Matchweek 22,Wed,Home,L,0,2,Leicester City,655,603,51,13,1,0,25,27,5,2,2,1,528,1,10,Match Report
21,2021-02-06,17:30 (19:30),Matchweek 23,Sat,Home,D,0,0,West Ham,588,546,41,12,1,2,18,15,7,0,4,1,485,1,4,Match Report
22,2021-02-14,19:00 (21:00),Matchweek 24,Sun,Away,W,2,0,Everton,585,541,42,10,1,4,15,21,4,3,0,0,491,2,9,Match Report
23,2021-02-17,18:00 (20:00),Matchweek 17,Wed,Away,D,1,1,Burnley,513,468,45,13,0,0,14,18,5,2,2,0,366,0,17,Match Report
24,2021-02-20,20:00 (22:00),Matchweek 25,Sat,Home,W,1,0,Sheffield Utd,645,592,52,17,0,1,22,22,6,1,2,1,522,1,13,Match Report
25,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,For Fulham,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2021-02-28,12:00 (14:00),Matchweek 26,Sun,Away,D,0,0,Crystal Palace,594,549,45,10,0,8,20,31,3,0,3,0,489,0,18,Match Report
28,2021-03-04,18:00 (20:00),Matchweek 33,Thu,Home,L,0,1,Tottenham,601,548,49,11,0,2,23,25,4,2,0,2,480,4,10,Match Report
29,2021-03-07,14:00 (16:00),Matchweek 27,Sun,Away,W,1,0,Liverpool,454,411,42,13,1,5,17,14,4,0,2,1,342,1,7,Match Report
30,2021-03-13,20:00 (22:00),Matchweek 28,Sat,Home,L,0,3,Manchester City,490,437,52,16,1,3,17,23,4,1,2,1,382,1,11,Match Report
