,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,0,0,0,3,11,0,29,7,13,0,0,0,63,24,21,53.3,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,0,0,0,14,9,3,16,15,16,0,0,0,69,13,23,36.1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,0,0,0,6,11,5,14,11,7,0,0,0,40,21,25,45.7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,1,0,0,9,10,2,14,14,13,0,0,0,62,15,21,41.7,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,2,0,0,14,14,2,24,10,17,0,1,0,54,16,11,59.3,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,1,0,0,16,13,3,19,12,14,0,0,0,60,12,15,44.4,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,1,0,0,12,9,0,28,15,13,0,0,0,55,8,12,40.0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,4,0,0,17,8,2,19,19,10,0,1,0,68,17,11,60.7,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,0,0,0,4,10,2,22,11,13,0,0,0,33,22,24,47.8,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Away,W,9,0,Southampton,0,0,0,12,3,0,26,5,15,1,0,0,70,10,10,50.0,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Away,W,2,0,Crystal Palace,2,0,0,16,13,1,20,8,15,0,0,0,48,17,18,48.6,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Home,W,2,0,Arsenal,1,0,0,10,10,1,16,11,9,0,0,0,46,8,4,66.7,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Brighton,0,0,0,1,8,1,20,12,9,1,0,0,55,11,9,55.0,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,W,2,1,Everton,0,0,0,7,9,1,25,10,10,0,0,0,71,23,19,54.8,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,0,Watford,3,0,0,13,16,3,21,14,5,1,0,0,50,22,23,48.9,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,4,1,Aston Villa,2,0,0,15,21,1,24,12,8,0,0,0,56,23,15,60.5,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,D,1,1,Norwich City,0,0,0,11,12,0,33,13,16,0,0,0,55,13,15,46.4,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Away,L,1,3,Manchester City,2,0,0,9,13,3,9,11,6,0,1,0,49,11,8,57.9,Match Report
18,2019-12-26,20:00 (22:00),Matchweek 19,Thu,Home,L,0,4,Liverpool,1,0,0,5,7,6,13,11,11,0,1,0,53,11,13,45.8,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,W,2,1,West Ham,1,0,0,4,16,3,17,16,6,1,0,0,55,14,25,35.9,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,W,3,0,Newcastle Utd,1,0,0,12,8,3,11,11,9,0,0,0,53,22,10,68.8,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,L,1,2,Southampton,0,0,0,9,17,3,11,10,13,0,0,0,64,20,27,42.6,Match Report
22,2020-01-19,14:00 (16:00),Matchweek 23,Sun,Away,L,1,2,Burnley,0,0,0,8,14,0,23,11,18,1,0,0,54,27,32,45.8,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,4,1,West Ham,1,0,0,10,18,2,21,9,9,1,1,0,45,24,21,53.3,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Home,D,2,2,Chelsea,2,0,0,16,14,1,16,9,17,0,0,0,69,17,17,50.0,Match Report
25,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2020-02-14,20:00 (22:00),Matchweek 26,Fri,Away,D,0,0,Wolves,4,1,1,10,12,0,19,14,12,0,0,0,45,18,22,45.0,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Home,L,0,1,Manchester City,0,0,0,14,10,1,11,12,10,0,1,0,52,8,9,47.1,Match Report
29,2020-02-28,20:00 (22:00),Matchweek 28,Fri,Away,L,0,1,Norwich City,2,0,0,16,13,0,22,9,4,0,0,0,56,12,9,57.1,Match Report
30,2020-03-09,20:00 (22:00),Matchweek 29,Mon,Home,W,4,0,Aston Villa,2,0,0,15,11,3,29,8,13,0,0,0,56,18,15,54.5,Match Report
31,2020-06-20,12:30 (13:30),Matchweek 30,Sat,Away,D,1,1,Watford,1,0,0,12,15,3,23,4,17,0,0,0,61,21,21,50.0,Match Report
32,2020-06-23,18:00 (19:00),Matchweek 31,Tue,Home,D,0,0,Brighton,2,0,0,10,12,0,25,9,9,0,1,0,52,18,20,47.4,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,L,1,2,Everton,1,0,0,10,13,1,35,6,10,0,1,0,51,20,32,38.5,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Home,W,3,0,Crystal Palace,2,0,0,18,7,1,11,14,17,0,0,0,58,21,24,46.7,Match Report
35,2020-07-07,20:15 (21:15),Matchweek 34,Tue,Away,D,1,1,Arsenal,0,0,0,14,10,1,18,8,12,0,0,0,56,18,16,52.9,Match Report
36,2020-07-12,19:00 (20:00),Matchweek 35,Sun,Away,L,1,4,Bournemouth,1,1,0,12,11,1,18,15,10,0,1,1,61,23,18,56.1,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,W,2,0,Sheffield Utd,1,0,0,12,10,3,26,13,9,0,0,0,50,29,35,45.3,Match Report
38,2020-07-19,16:00 (17:00),Matchweek 37,Sun,Away,L,0,3,Tottenham,1,0,0,10,15,0,33,8,6,0,0,1,47,21,14,60.0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,0,2,Manchester Utd,1,1,0,12,11,2,18,16,11,0,1,0,62,11,10,52.4,Match Report
40,,,,,,18-8-12,67,41,,43,3,1,418,444,64,779,423,432,6,10,2,2104,659,674,49.4,
