,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,593,720,82.4,10076,3123,258,294,87.8,279,310,90.0,40,75,53.3,0,0.6,0.7,10,36,8,1,39,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,377,500,75.4,7014,2674,136,163,83.4,182,224,81.3,45,79,57.0,1,0.4,0.4,7,21,4,0,28,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,398,509,78.2,7281,2480,158,185,85.4,178,211,84.4,49,85,57.6,2,0.6,0.9,8,18,11,4,25,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,462,588,78.6,7954,2687,211,244,86.5,184,215,85.6,46,85,54.1,3,1.9,1.5,14,26,7,1,35,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,398,525,75.8,6996,2542,203,232,87.5,138,174,79.3,48,89,53.9,0,0.4,0.3,4,25,4,0,23,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,308,426,72.3,5660,2372,149,176,84.7,99,137,72.3,47,84,56.0,1,0.7,1.0,11,29,6,0,32,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,674,778,86.6,11822,3385,274,303,90.4,326,356,91.6,54,81,66.7,3,1.6,1.9,11,60,15,5,51,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,376,522,72.0,6439,2513,179,208,86.1,148,194,76.3,38,81,46.9,1,0.1,0.4,1,20,6,0,31,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,505,613,82.4,8517,2630,222,248,89.5,216,245,88.2,46,77,59.7,2,0.8,0.8,15,28,9,5,23,Match Report
