,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,720,662,58,14,1,3,29,24,12,6,4,1,593,0,15,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,500,448,49,12,5,4,16,21,5,1,2,0,377,3,15,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,509,443,61,10,2,5,14,33,4,2,2,0,398,5,4,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,588,534,52,12,2,4,14,28,4,0,1,0,462,2,11,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,525,466,57,13,2,6,24,26,9,3,3,0,398,2,7,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,426,373,50,16,3,6,19,15,8,4,1,1,308,3,7,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,778,729,49,10,1,7,28,23,9,3,3,0,674,0,8,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,522,473,47,11,4,5,19,18,6,3,2,0,376,2,11,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,613,557,54,12,1,0,22,25,9,3,3,0,505,2,12,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Away,W,9,0,Southampton,766,724,42,2,3,2,26,25,7,2,1,0,648,0,18,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Away,W,2,0,Crystal Palace,477,426,50,16,2,4,20,20,6,2,3,0,385,1,7,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Home,W,2,0,Arsenal,535,485,49,11,2,2,16,27,5,1,3,0,463,1,9,Match Report
