,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,0,16,1,6.3,0.00,0.00,23.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,1,12,3,25.0,0.08,0.33,20.8,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,2,10,2,20.0,0.20,1.00,19.1,2,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,3,15,6,40.0,0.20,0.50,20.5,0,0,0,2.0,2.0,0.14,+1.0,+1.0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,0,9,3,33.3,0.00,0.00,24.7,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,2,16,7,43.8,0.13,0.29,18.0,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,4,13,5,38.5,0.31,0.80,15.4,0,0,0,1.6,1.6,0.13,+2.4,+2.4,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,1,2,1,50.0,0.50,1.00,19.5,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,2,19,3,15.8,0.11,0.67,19.0,1,0,0,1.0,1.0,0.05,+1.0,+1.0,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Away,W,9,0,Southampton,9,24,14,58.3,0.33,0.57,17.5,1,1,1,4.6,3.8,0.16,+4.4,+4.2,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Away,W,2,0,Crystal Palace,2,14,5,35.7,0.14,0.40,13.8,1,0,0,1.1,1.1,0.08,+0.9,+0.9,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Home,W,2,0,Arsenal,2,19,7,36.8,0.11,0.29,20.5,1,0,0,1.2,1.2,0.07,+0.8,+0.8,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Brighton,2,18,8,44.4,0.06,0.13,15.1,1,1,1,3.6,2.8,0.16,-1.6,-1.8,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,W,2,1,Everton,2,16,6,37.5,0.13,0.33,15.3,0,0,0,2.2,2.2,0.14,-0.2,-0.2,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,0,Watford,2,11,4,36.4,0.09,0.25,12.4,0,1,1,2.4,1.6,0.15,-0.4,-0.6,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,4,1,Aston Villa,4,23,8,34.8,0.17,0.50,11.8,0,0,0,4.6,4.6,0.21,-0.6,-0.6,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,D,1,1,Norwich City,0,18,5,27.8,0.00,0.00,16.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Away,L,1,3,Manchester City,1,5,2,40.0,0.20,0.50,14.1,0,0,0,1.1,1.1,0.22,-0.1,-0.1,Match Report
18,2019-12-26,20:00 (22:00),Matchweek 19,Thu,Home,L,0,4,Liverpool,0,3,0,0.0,0.00,,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,W,2,1,West Ham,2,12,7,58.3,0.17,0.29,16.8,1,0,1,2.5,1.7,0.14,-0.5,+0.3,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,W,3,0,Newcastle Utd,3,17,10,58.8,0.18,0.30,15.0,1,0,0,2.6,2.6,0.18,+0.4,+0.4,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,L,1,2,Southampton,1,5,5,100.0,0.20,0.20,12.7,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Match Report
22,2020-01-19,14:00 (16:00),Matchweek 23,Sun,Away,L,1,2,Burnley,1,17,7,41.2,0.06,0.14,18.3,0,0,1,2.5,1.7,0.10,-1.5,-0.7,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,4,1,West Ham,4,18,7,38.9,0.17,0.43,17.1,0,1,1,2.8,2.0,0.12,+1.2,+1.0,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Home,D,2,2,Chelsea,2,14,4,28.6,0.14,0.50,18.2,2,0,0,1.4,1.4,0.10,+0.6,+0.6,Match Report
25,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-14,20:00 (22:00),Matchweek 26,Fri,Away,D,0,0,Wolves,0,9,3,33.3,0.00,0.00,16.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Home,L,0,1,Manchester City,0,10,3,30.0,0.00,0.00,19.8,2,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report
29,2020-02-28,20:00 (22:00),Matchweek 28,Fri,Away,L,0,1,Norwich City,0,19,4,21.1,0.00,0.00,16.6,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
30,2020-03-09,20:00 (22:00),Matchweek 29,Mon,Home,W,4,0,Aston Villa,4,14,6,42.9,0.21,0.50,15.5,0,1,1,2.1,1.3,0.10,+1.9,+1.7,Match Report
31,2020-06-20,12:30 (13:30),Matchweek 30,Sat,Away,D,1,1,Watford,1,15,2,13.3,0.07,0.50,22.7,1,0,0,1.0,1.0,0.06,0.0,0.0,Match Report
32,2020-06-23,18:00 (19:00),Matchweek 31,Tue,Home,D,0,0,Brighton,0,11,2,18.2,0.00,0.00,16.8,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,L,1,2,Everton,1,15,3,20.0,0.07,0.33,15.7,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Home,W,3,0,Crystal Palace,3,15,4,26.7,0.20,0.75,15.4,0,0,0,2.8,2.8,0.19,+0.2,+0.2,Match Report
35,2020-07-07,20:15 (21:15),Matchweek 34,Tue,Away,D,1,1,Arsenal,1,13,5,38.5,0.08,0.20,21.2,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report
36,2020-07-12,19:00 (20:00),Matchweek 35,Sun,Away,L,1,4,Bournemouth,1,13,5,38.5,0.08,0.20,17.9,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,W,2,0,Sheffield Utd,2,15,7,46.7,0.13,0.29,16.0,0,0,0,2.6,2.6,0.17,-0.6,-0.6,Match Report
38,2020-07-19,16:00 (17:00),Matchweek 37,Sun,Away,L,0,3,Tottenham,0,24,6,25.0,0.00,0.00,18.4,2,0,0,1.7,1.7,0.09,-1.7,-1.7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,0,2,Manchester Utd,0,14,3,21.4,0.00,0.00,17.2,1,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
40,,,,,,18-8-12,67,41,,65,533,183,34.3,0.11,0.33,17.4,20,5,7,62.2,56.7,0.11,+2.8,+3.3,
