,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Home,W,4,1,Norwich City,410,528,77.7,7145,2296,164,192,85.4,182,221,82.4,43,75,57.3,3,1.6,1.4,12,33,16,4,40,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Southampton,450,590,76.3,8357,2741,195,227,85.9,185,228,81.1,60,95,63.2,2,1.2,0.6,12,32,10,2,31,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Home,W,3,1,Arsenal,502,604,83.1,8579,2843,235,249,94.4,189,222,85.1,53,82,64.6,2,1.5,1.5,19,46,14,2,43,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Away,W,3,0,Burnley,469,617,76.0,8209,2747,204,238,85.7,197,243,81.1,48,102,47.1,2,0.8,0.6,12,30,11,0,40,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,791,900,87.9,13568,3732,351,386,90.9,360,392,91.8,59,77,76.6,2,2.1,2.0,19,66,18,3,53,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,W,2,1,Chelsea,334,458,72.9,5737,2275,147,175,84.0,125,154,81.2,39,81,48.1,2,0.6,1.0,6,28,9,3,29,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,640,762,84.0,11395,3278,278,310,89.7,279,307,90.9,62,101,61.4,0,1.1,1.1,6,35,12,0,39,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,2,1,Leicester City,423,554,76.4,7571,2807,194,217,89.4,148,192,77.1,59,104,56.7,1,2.1,1.5,14,31,10,3,31,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Away,D,1,1,Manchester Utd,575,701,82.0,9615,3075,271,306,88.6,247,284,87.0,41,74,55.4,1,1.1,1.0,9,39,9,3,32,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,W,2,1,Tottenham,561,689,81.4,10154,3236,251,278,90.3,235,277,84.8,65,102,63.7,0,1.7,1.3,16,45,17,6,38,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,2,1,Aston Villa,573,707,81.0,9251,3242,292,313,93.3,210,257,81.7,47,84,56.0,2,2.0,2.0,20,57,16,4,54,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Home,W,3,1,Manchester City,353,463,76.2,6850,2513,146,168,86.9,148,177,83.6,52,95,54.7,2,0.9,0.9,8,13,9,4,17,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Crystal Palace,449,566,79.3,8061,2660,184,215,85.6,206,239,86.2,44,79,55.7,1,1.0,1.3,10,29,9,1,35,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,2,1,Brighton,413,520,79.4,7721,2370,180,203,88.7,167,190,87.9,55,99,55.6,2,0.9,0.9,8,26,8,0,28,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Home,W,5,2,Everton,433,548,79.0,7664,2743,199,229,86.9,175,203,86.2,47,90,52.2,5,2.0,1.4,10,29,11,1,29,Match Report
