,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,16,10,6,6,4,11,24,45.8,13,14,4,10,12,28,20,0,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,23,15,8,12,3,12,21,57.1,9,5,1,4,5,28,16,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,9,4,4,3,2,3,12,25.0,9,5,1,4,6,15,8,0,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,19,11,12,6,1,10,16,62.5,6,9,3,6,7,26,17,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,19,11,10,5,4,11,23,47.8,12,3,1,2,12,31,35,1,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,13,9,8,4,1,2,6,33.3,4,6,1,5,5,18,21,0,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,15,6,4,7,4,8,16,50.0,8,8,2,6,11,26,8,1,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,11,6,5,6,0,6,17,35.3,11,10,5,5,8,19,7,0,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,10,3,4,4,2,4,9,44.4,5,6,1,5,11,21,30,0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,W,3,1,Norwich City,24,13,8,12,4,10,23,43.5,13,11,2,9,6,30,15,1,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Away,L,0,1,Bournemouth,18,11,9,7,2,8,13,61.5,5,15,3,12,12,30,12,0,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,3,1,Brighton,24,14,13,8,3,7,16,43.8,9,7,1,6,10,34,15,0,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,10,6,7,2,1,4,12,33.3,8,9,1,8,9,19,28,1,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,D,2,2,Aston Villa,6,3,1,4,1,4,14,28.6,10,7,1,6,10,16,19,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Tottenham,20,12,5,12,3,8,30,26.7,22,11,2,9,16,36,18,0,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Away,W,2,1,Manchester City,18,12,12,3,3,5,19,26.3,14,18,10,8,11,29,46,0,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,D,1,1,Everton,14,11,10,3,1,9,13,69.2,4,6,0,6,7,21,20,1,Match Report
17,2019-12-22,14:00 (16:00),Matchweek 18,Sun,Away,L,0,2,Watford,18,8,11,5,2,10,23,43.5,13,9,4,5,9,27,22,1,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,17,12,6,7,4,7,17,41.2,10,10,0,10,10,27,2,0,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Away,W,2,0,Burnley,6,3,0,6,0,1,8,12.5,7,6,2,4,2,8,23,0,Match Report
20,2020-01-01,20:00 (22:00),Matchweek 21,Wed,Away,L,0,2,Arsenal,12,5,5,4,3,6,19,31.6,13,7,1,6,10,22,8,1,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,4,0,Norwich City,21,12,5,10,6,7,26,26.9,19,15,3,12,14,35,10,0,Match Report
22,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Away,L,0,2,Liverpool,16,8,11,3,2,9,25,36.0,16,11,5,6,13,29,34,0,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Home,L,0,2,Burnley,10,8,6,4,0,3,4,75.0,1,3,1,2,7,17,14,0,Match Report
24,2020-02-01,17:30 (19:30),Matchweek 25,Sat,Home,D,0,0,Wolves,19,11,11,7,1,11,27,40.7,16,12,6,6,5,24,13,0,Match Report
25,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Away,W,2,0,Chelsea,12,6,4,5,3,5,15,33.3,10,20,10,10,15,27,29,0,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Home,W,3,0,Watford,21,10,10,9,2,11,18,61.1,7,11,3,8,18,39,16,0,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Away,D,1,1,Everton,16,11,13,1,2,3,15,20.0,12,12,4,8,7,23,28,2,Match Report
30,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Home,W,2,0,Manchester City,19,9,11,8,0,8,26,30.8,18,8,0,8,17,36,37,1,Match Report
31,2020-06-19,20:15 (21:15),Matchweek 30,Fri,Away,D,1,1,Tottenham,16,8,5,9,2,11,21,52.4,10,11,3,8,15,31,19,0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,W,3,0,Sheffield Utd,7,3,2,4,1,2,6,33.3,4,4,2,2,8,15,19,0,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Away,W,3,0,Brighton,16,12,9,6,1,7,14,50.0,7,7,1,6,5,21,15,0,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Home,W,5,2,Bournemouth,16,9,6,8,2,8,14,57.1,6,6,1,5,13,29,9,1,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Away,W,3,0,Aston Villa,11,5,6,3,2,5,12,41.7,7,9,3,6,12,23,11,1,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Home,D,2,2,Southampton,13,7,4,7,2,4,13,30.8,9,10,1,9,10,23,24,1,Match Report
