,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,3,0,0,15,12,2,14,12,10,1,0,0,51,13,9,59.1,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,2,0,0,8,17,1,17,5,15,1,0,0,57,20,10,66.7,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,2,0,0,8,18,0,27,6,4,1,0,0,45,23,15,60.5,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,2,0,0,7,15,1,22,7,11,0,0,0,56,26,18,59.1,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,1,0,0,14,14,0,9,12,11,1,0,0,54,11,16,40.7,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,2,0,0,9,8,1,20,5,9,0,0,0,49,13,21,38.2,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,4,0,0,18,12,2,19,11,6,0,0,0,49,10,10,50.0,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,3,0,0,10,9,2,25,8,6,0,0,0,51,18,21,46.2,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,0,0,0,6,13,4,15,11,3,0,0,0,60,10,25,28.6,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,W,3,1,Norwich City,2,0,0,10,12,0,19,6,13,1,0,0,64,6,4,60.0,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Away,L,0,1,Bournemouth,3,0,0,12,13,4,23,12,11,0,0,0,57,6,14,30.0,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,3,1,Brighton,2,0,0,10,14,0,17,10,14,0,0,0,66,11,14,44.0,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,2,0,0,10,13,1,11,9,6,0,0,0,60,23,22,51.1,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,D,2,2,Aston Villa,4,0,0,16,7,1,29,10,3,0,0,0,49,15,7,68.2,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Tottenham,0,0,0,9,9,1,10,16,12,1,0,0,62,11,16,40.7,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Away,W,2,1,Manchester City,2,0,0,10,10,0,9,11,12,1,0,0,46,11,12,47.8,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,D,1,1,Everton,1,0,0,10,12,2,31,7,11,0,0,1,47,30,16,65.2,Match Report
17,2019-12-22,14:00 (16:00),Matchweek 18,Sun,Away,L,0,2,Watford,1,0,0,11,14,4,14,9,8,0,1,0,58,24,11,68.6,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,2,0,0,10,6,1,16,10,12,0,0,0,56,13,17,43.3,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Away,W,2,0,Burnley,3,0,0,10,17,2,8,2,3,0,0,0,51,18,21,46.2,Match Report
20,2020-01-01,20:00 (22:00),Matchweek 21,Wed,Away,L,0,2,Arsenal,0,0,0,15,11,0,16,10,5,0,0,0,50,9,7,56.3,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,4,0,Norwich City,0,0,0,18,7,2,16,14,12,1,0,0,64,10,6,62.5,Match Report
22,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Away,L,0,2,Liverpool,3,0,0,10,7,3,18,13,8,0,0,0,62,12,16,42.9,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Home,L,0,2,Burnley,0,0,0,11,7,2,24,7,8,0,0,0,58,34,23,59.6,Match Report
24,2020-02-01,17:30 (19:30),Matchweek 25,Sat,Home,D,0,0,Wolves,3,0,0,14,14,0,23,5,11,0,0,0,59,9,8,52.9,Match Report
25,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Away,W,2,0,Chelsea,3,0,0,11,9,0,16,15,6,0,0,0,59,14,15,48.3,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Home,W,3,0,Watford,0,0,0,6,14,1,10,18,10,1,0,0,79,18,22,45.0,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Away,D,1,1,Everton,4,0,0,11,10,1,21,7,11,0,0,0,59,15,16,48.4,Match Report
30,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Home,W,2,0,Manchester City,2,0,0,11,9,1,9,17,9,0,0,0,57,7,11,38.9,Match Report
31,2020-06-19,20:15 (21:15),Matchweek 30,Fri,Away,D,1,1,Tottenham,1,0,0,18,17,3,17,15,8,1,0,0,58,19,14,57.6,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,W,3,0,Sheffield Utd,1,0,0,10,6,1,17,8,3,0,0,0,38,16,8,66.7,Match Report
33,2020-06-30,20:15 (21:15),Matchweek 32,Tue,Away,W,3,0,Brighton,1,0,0,9,9,2,12,5,12,0,0,0,40,5,6,45.5,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Home,W,5,2,Bournemouth,0,0,0,3,11,4,21,13,9,0,1,0,51,15,12,55.6,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Away,W,3,0,Aston Villa,3,0,0,13,7,1,17,12,5,1,0,0,41,13,6,68.4,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Home,D,2,2,Southampton,1,0,0,14,14,1,13,10,7,0,0,0,57,15,14,51.7,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Away,W,2,0,Crystal Palace,2,0,0,15,10,0,15,14,11,0,0,0,55,15,5,75.0,Match Report
38,2020-07-22,18:00 (19:00),Matchweek 37,Wed,Home,D,1,1,West Ham,3,0,0,10,9,3,8,8,6,0,1,0,54,9,13,40.9,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,W,2,0,Leicester City,5,0,0,11,11,2,7,9,12,1,0,0,55,10,11,47.6,Match Report
40,,,,,,18-12-8,66,36,,73,0,0,423,427,56,635,379,333,12,3,1,2084,557,512,52.1,
