,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,46,590,67,233,245,119,26,589,14,20,70.0,17,15,384,20,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,65,802,54,170,448,187,18,801,7,15,46.7,17,9,602,33,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,71,696,35,117,336,248,34,695,7,16,43.8,13,16,507,42,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,59,724,63,213,314,202,37,724,10,19,52.6,18,16,463,43,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,42,518,63,165,241,122,11,517,13,29,44.8,17,14,284,22,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,53,618,55,182,305,133,18,618,11,14,78.6,15,13,420,27,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,55,590,55,162,279,152,25,590,8,17,47.1,11,10,374,19,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,68,735,38,125,434,182,16,735,3,10,30.0,16,5,545,32,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,34,472,65,179,191,107,11,472,8,16,50.0,16,10,227,10,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,W,3,1,Norwich City,54,635,37,121,305,219,25,633,19,30,63.3,13,15,422,28,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Away,L,0,1,Bournemouth,57,656,50,178,301,181,15,656,10,16,62.5,21,7,408,25,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,3,1,Brighton,42,521,34,180,193,152,29,521,18,26,69.2,18,20,298,30,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,59,752,62,209,390,159,15,752,9,18,50.0,20,4,501,33,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,D,2,2,Aston Villa,62,687,57,211,267,214,37,687,8,23,34.8,15,7,476,41,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Tottenham,47,599,54,179,271,154,21,598,13,24,54.2,12,7,361,31,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Away,W,2,1,Manchester City,28,436,110,240,125,76,15,435,7,14,50.0,11,7,210,21,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,D,1,1,Everton,66,720,51,208,297,220,22,720,13,23,56.5,17,11,487,44,Match Report
