,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,4,10,4,40.0,0.30,0.75,17.6,0,1,1,2.2,1.4,0.14,+1.8,+1.6,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,1,8,1,12.5,0.13,1.00,20.9,1,0,1,1.2,0.4,0.05,-0.2,+0.6,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,1,21,3,14.3,0.05,0.33,17.0,3,0,1,2.5,1.7,0.08,-1.5,-0.7,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,1,21,8,38.1,0.05,0.13,17.6,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,1,9,4,44.4,0.00,0.00,23.8,2,1,1,1.2,0.4,0.04,-0.2,-0.4,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,0,9,3,33.3,0.00,0.00,19.3,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,1,16,4,25.0,0.06,0.25,22.3,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,0,12,3,25.0,0.00,0.00,17.9,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,1,7,2,28.6,0.14,0.50,21.6,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Match Report
